Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,26.02,26.16,25.14,25.71,1156755,0
2015-01-05,25.35,25.44,24.26,24.43,2214693,0
2015-01-06,24.41,24.43,23.152,23.35,2558969,0
2015-01-07,23.7,23.9,23.38,23.85,1433908,0
2015-01-08,24.04,25.725,24.02,25.67,2943618,0
2015-01-09,25.72,25.8,25.08,25.5,1285265,0
2015-01-12,25.32,25.59,24.62,25.51,1533660,0
2015-01-13,26.48,27.5,26.07,26.57,4771681,0
2015-01-14,26.15,27.06,26.0,26.88,3254821,0
2015-01-15,27.11,27.38,24.5,24.53,4133675,0
2015-01-16,24.55,24.74,23.89,24.51,3002821,0
2015-01-20,24.6,24.74,23.6,23.79,2130169,0
2015-01-21,23.75,24.66,23.66,24.345,1985066,0
2015-01-22,24.49,24.59,23.9,24.43,1478781,0
2015-01-23,24.45,24.87,24.166,24.635,1798499,0
2015-01-26,24.58,25.41,24.505,25.33,1356917,0
2015-01-27,24.8,25.44,24.53,25.37,1594356,0
2015-01-28,25.585,25.69,24.13,24.22,2383422,0
2015-01-29,24.29,24.59,23.29,23.98,1981321,0
2015-01-30,24.49,24.9,23.91,24.12,1990565,0
2015-02-02,24.31,25.87,24.3,25.76,2534552,0
2015-02-03,26.16,27.94,26.13,27.4,4038187,0
2015-02-04,27.07,27.34,26.58,26.92,2249940,0
2015-02-05,27.16,27.31,26.59,27.09,1658797,0
2015-02-06,27.35,27.35,26.68,26.81,1771532,0
2015-02-09,26.72,27.29,26.5,26.95,1838219,0
2015-02-10,27.14,27.25,26.31,27.13,1928815,0
2015-02-11,27.01,27.62,26.76,27.42,2305594,0
2015-02-12,27.6,28.6,27.6,28.225,2504259,0
2015-02-13,28.55,28.64,28.05,28.3,2031552,0
2015-02-17,28.38,28.555,27.85,28.485,2020399,0
2015-02-18,28.41,28.83,27.97,28.1,2074104,0
2015-02-19,27.41,28.17,27.19,27.375,2322735,0
2015-02-20,28.18,28.44,27.37,28.03,3252158,0
2015-02-23,27.91,28.27,27.54,27.8,3587370,0
2015-02-24,32.3,33.16,31.52,32.8,12926905,0
2015-02-25,33.16,33.25,31.96,32.87,4602468,0
2015-02-26,32.61,32.655,31.777,32.06,2754278,0
2015-02-27,31.65,32.94,31.61,32.66,3117469,0
2015-03-02,32.1,33.45,32.08,33.45,2747000,0
2015-03-03,33.31,33.86,32.87,33.33,2331500,0
2015-03-04,32.96,33.49,32.79,33.05,2071800,0
2015-03-05,33.22,33.81,32.88,33.6,2696600,0
2015-03-06,33.49,34.24,33.29,33.56,2558000,0
2015-03-09,33.56,33.72,32.91,33.17,1916600,0
2015-03-10,32.91,33.0,32.11,32.29,2096800,0
2015-03-11,32.47,32.97,32.26,32.63,2220700,0
2015-03-12,32.44,32.81,32.26,32.72,1269500,0
2015-03-13,32.49,32.73,31.81,32.26,1704400,0
2015-03-16,32.45,32.56,31.89,32.49,1372400,0
2015-03-17,32.22,33.1,32.2,32.95,1512300,0
2015-03-18,32.5,33.35,32.5,33.16,1843900,0
2015-03-19,32.93,33.57,32.85,33.09,1088500,0
2015-03-20,33.24,33.39,32.74,32.87,1243000,0
2015-03-23,32.9,33.25,32.83,32.98,1351700,0
2015-03-24,32.91,33.76,32.8,33.05,1614000,0
2015-03-25,33.29,33.45,31.79,31.8,1789400,0
2015-03-26,31.7,31.9,31.2,31.67,1608900,0
2015-03-27,31.61,31.94,31.22,31.68,901700,0
2015-03-30,31.91,32.06,31.4,31.45,1073500,0
2015-03-31,31.26,31.47,31.02,31.31,1383323,0
2015-04-01,31.5,31.59,30.69,30.87,2521500,0
2015-04-02,31.0,31.77,30.9,31.47,1306000,0
2015-04-06,31.4,32.37,31.34,32.03,1190000,0
2015-04-07,31.96,32.67,31.94,31.99,1149831,0
2015-04-08,32.01,32.26,31.7,31.89,934100,0
2015-04-09,31.82,32.73,31.82,32.63,1098529,0
2015-04-10,32.72,33.04,32.47,32.81,964700,0
2015-04-13,32.91,33.17,32.4,32.5,784700,0
2015-04-14,32.54,32.74,32.01,32.64,818000,0
2015-04-15,32.78,33.55,32.44,33.38,1313215,0
2015-04-16,34.21,34.75,33.59,34.26,2831090,0
2015-04-17,34.26,34.69,33.85,34.17,1945200,0
2015-04-20,34.52,34.56,33.95,34.05,1594693,0
2015-04-21,34.15,34.73,34.06,34.46,1433827,0
2015-04-22,34.42,35.0,34.3,34.74,1221070,0
2015-04-23,34.64,35.11,34.43,34.85,1157700,0
2015-04-24,34.91,34.94,33.9,33.97,1205906,0
2015-04-27,34.01,34.52,33.6,33.66,1015700,0
2015-04-28,33.5,33.94,33.15,33.8,1173549,0
2015-04-29,33.53,33.7,32.85,33.27,1730000,0
2015-04-30,33.28,33.43,31.91,32.19,2410100,0
2015-05-01,30.73,32.55,30.54,32.05,3432700,0
2015-05-04,32.25,32.83,32.03,32.43,1962000,0
2015-05-05,32.38,33.25,32.16,32.25,2138200,0
2015-05-06,32.06,32.34,31.31,31.61,1687531,0
2015-05-07,31.61,32.2,31.4,32.1,1215231,0
2015-05-08,32.4,32.86,32.25,32.56,983900,0
2015-05-11,32.65,33.2,32.52,32.87,1205700,0
2015-05-12,32.66,32.83,31.91,32.29,1274510,0
2015-05-13,32.04,32.6,32.04,32.4,1032212,0
2015-05-14,32.6,32.64,31.95,32.07,993300,0
2015-05-15,32.02,32.295,31.68,32.26,1198410,0
2015-05-18,32.12,32.56,31.9,32.38,832604,0
2015-05-19,32.24,32.35,31.31,31.51,1588864,0
2015-05-20,31.45,31.84,31.22,31.46,946925,0
2015-05-21,31.49,32.41,31.49,32.29,988200,0
2015-05-22,31.81,32.82,31.81,32.66,1495900,0
2015-05-26,32.31,32.41,31.5,31.7,1725117,0
2015-05-27,31.67,31.75,30.92,31.44,1184900,0
2015-05-28,31.32,31.55,30.8,31.28,794664,0
2015-05-29,31.22,31.32,30.36,30.39,1290200,0
2015-06-01,30.4,30.49,29.72,30.03,1285662,0
2015-06-02,30.02,31.14,29.88,30.82,1426116,0
2015-06-03,31.01,31.44,30.87,30.97,859700,0
2015-06-04,30.64,31.02,30.36,30.63,961300,0
2015-06-05,30.39,31.47,30.15,31.37,1271800,0
2015-06-08,31.27,31.5,30.47,30.62,827000,0
2015-06-09,30.56,30.82,29.86,30.01,1347427,0
2015-06-10,30.24,32.2,30.05,31.58,2198193,0
2015-06-11,31.23,32.13,31.23,32.06,947053,0
2015-06-12,31.88,32.36,31.62,32.08,996000,0
2015-06-15,31.75,32.99,31.6,32.78,1577400,0
2015-06-16,32.61,32.84,32.21,32.52,890600,0
2015-06-17,32.6,33.29,32.2,32.47,1323200,0
