Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,1.42,1.42,1.35,1.4,3380,0
2015-01-05,1.4,1.4,1.32,1.37,9446,0
2015-01-06,1.32,1.42,1.32,1.42,200,0
2015-01-07,1.37,1.45,1.32,1.33,9245,0
2015-01-09,1.4,1.48,1.33,1.44,15430,0
2015-01-12,1.41,1.41,1.38,1.38,7583,0
2015-01-13,1.4,1.43,1.33,1.43,602,0
2015-01-14,1.38,1.4,1.38,1.4,1550,0
2015-01-15,1.37,1.4,1.37,1.4,6395,0
2015-01-16,1.37,1.4,1.31,1.4,8699,0
2015-01-20,1.36,1.41,1.36,1.41,4299,0
2015-01-21,1.41,1.41,1.4,1.4,1101,0
2015-01-22,1.35,1.37,1.32,1.37,3686,0
2015-01-23,1.41,1.41,1.3,1.33,6879,0
2015-01-26,1.33,1.33,1.3,1.33,6500,0
2015-01-27,1.3,1.3,1.29,1.3,8021,0
2015-01-28,1.3,1.34,1.3,1.33,17215,0
2015-01-29,1.41,1.41,1.35,1.38,1257,0
2015-01-30,1.4,1.4,1.4,1.4,120,0
2015-02-02,1.48,1.49,1.4,1.4,3382,0
2015-02-03,1.36,1.44,1.36,1.44,963,0
2015-02-04,1.48,1.48,1.33,1.4,15428,0
2015-02-05,1.32,1.45,1.32,1.44,1979,0
2015-02-06,1.4,1.43,1.36,1.4,12295,0
2015-02-09,1.32,1.36,1.28,1.35,10892,0
2015-02-10,1.35,1.35,1.29,1.34,17922,0
2015-02-11,1.31,1.34,1.29,1.34,5014,0
2015-02-12,1.41,1.41,1.3,1.33,3503,0
2015-02-13,1.3,1.39,1.3,1.39,7198,0
2015-02-17,1.4,1.4,1.4,1.4,215,0
2015-02-18,1.39,1.5,1.38,1.43,18498,0
2015-02-19,1.49,1.56,1.41,1.45,22246,0
2015-02-20,1.42,1.43,1.33,1.43,6849,0
2015-02-23,1.48,1.6,1.39,1.47,27996,0
2015-02-24,1.51,1.65,1.46,1.55,26480,0
2015-02-25,1.57,1.65,1.51,1.52,28377,0
2015-02-26,1.59,1.59,1.5,1.5,765,0
2015-02-27,1.43,1.51,1.43,1.45,1136,0
2015-03-02,1.48,1.48,1.41,1.42,3100,0
2015-03-03,1.44,1.45,1.41,1.41,3000,0
2015-03-04,1.41,1.41,1.41,1.41,300,0
2015-03-05,1.42,1.49,1.41,1.42,600,0
2015-03-06,1.41,1.49,1.41,1.41,700,0
2015-03-09,1.42,1.49,1.41,1.49,1100,0
2015-03-10,1.43,1.47,1.41,1.44,1400,0
2015-03-11,1.47,1.49,1.47,1.47,3500,0
2015-03-12,1.42,1.49,1.42,1.43,1900,0
2015-03-13,1.48,1.48,1.41,1.47,11600,0
2015-03-16,1.45,1.55,1.43,1.52,14100,0
2015-03-17,1.54,1.57,1.5,1.52,21900,0
2015-03-18,1.53,1.8,1.52,1.7,31200,0
2015-03-19,1.66,1.79,1.66,1.73,4600,0
2015-03-20,1.72,1.79,1.66,1.66,19700,0
2015-03-23,1.7,1.79,1.7,1.74,30900,0
2015-03-24,1.8,1.8,1.68,1.68,21000,0
2015-03-25,1.74,1.74,1.65,1.65,1500,0
2015-03-26,1.65,1.65,1.61,1.61,600,0
2015-03-27,1.68,1.7,1.62,1.68,5900,0
2015-03-30,1.72,1.72,1.52,1.71,34500,0
2015-03-31,1.62,1.7,1.62,1.7,1733,0
2015-04-01,1.7,1.7,1.7,1.7,200,0
2015-04-02,1.7,1.7,1.7,1.7,100,0
2015-04-06,1.65,1.66,1.64,1.66,13700,0
2015-04-07,1.65,1.68,1.63,1.63,594,0
2015-04-08,1.67,1.67,1.65,1.65,300,0
2015-04-09,1.68,1.68,1.55,1.65,15320,0
2015-04-10,1.63,1.65,1.56,1.59,15200,0
2015-04-13,1.54,1.59,1.54,1.56,5800,0
2015-04-14,1.6,1.6,1.6,1.6,400,0
2015-04-15,1.61,1.61,1.54,1.54,969,0
2015-04-16,1.53,1.61,1.53,1.58,3386,0
2015-04-17,1.58,1.58,1.58,1.58,2100,0
2015-04-20,1.55,1.58,1.55,1.58,729,0
2015-04-21,1.55,1.55,1.48,1.54,37328,0
2015-04-22,1.53,1.55,1.45,1.46,22911,0
2015-04-23,1.46,1.5,1.46,1.5,10200,0
2015-04-24,1.45,1.51,1.45,1.5,14774,0
2015-04-27,1.5,1.5,1.5,1.5,300,0
2015-04-28,1.5,1.5,1.5,1.5,6,0
2015-04-29,1.48,1.5,1.47,1.5,6200,0
2015-04-30,1.44,1.55,1.43,1.55,5100,0
2015-05-01,1.52,1.52,1.35,1.44,8600,0
2015-05-04,1.52,1.52,1.39,1.49,6400,0
2015-05-05,1.49,1.49,1.38,1.42,1200,0
2015-05-06,1.49,1.49,1.48,1.49,1689,0
2015-05-07,1.49,1.49,1.47,1.47,1536,0
2015-05-08,1.38,1.45,1.38,1.45,900,0
2015-05-11,1.47,1.48,1.41,1.47,3300,0
2015-05-12,1.4,1.47,1.4,1.43,3405,0
2015-05-13,1.51,1.51,1.49,1.5,1976,0
2015-05-14,1.57,1.57,1.5,1.55,2700,0
2015-05-15,1.5,1.5,1.35,1.41,14645,0
2015-05-18,1.41,1.41,1.3,1.36,14500,0
2015-05-19,1.31,1.44,1.31,1.44,6853,0
2015-05-20,1.45,1.45,1.38,1.38,300,0
2015-05-21,1.35,1.39,1.34,1.39,5700,0
2015-05-22,1.35,1.38,1.32,1.38,7000,0
2015-05-26,1.4,1.4,1.36,1.4,2104,0
2015-05-27,1.35,1.39,1.32,1.36,19000,0
2015-05-28,1.36,1.36,1.34,1.36,1430,0
2015-05-29,1.4,1.48,1.4,1.45,5800,0
2015-06-01,1.49,1.49,1.44,1.49,2127,0
2015-06-02,1.49,1.49,1.41,1.45,13719,0
2015-06-03,1.42,1.42,1.42,1.42,100,0
2015-06-04,1.48,1.48,1.48,1.48,1500,0
2015-06-05,1.48,1.48,1.42,1.44,1900,0
2015-06-08,1.5,1.5,1.43,1.43,600,0
2015-06-09,1.43,1.43,1.43,1.43,80,0
2015-06-10,1.48,1.48,1.48,1.48,101,0
2015-06-12,1.49,1.49,1.42,1.42,8100,0
2015-06-15,1.4,1.5,1.4,1.47,6700,0
2015-06-16,1.47,1.48,1.43,1.45,5100,0
2015-06-17,1.44,1.46,1.44,1.46,1500,0
2015-06-18,1.49,1.49,1.41,1.46,11400,0
2015-06-19,1.46,1.49,1.46,1.47,2200,0
2015-06-22,1.47,1.55,1.47,1.47,8600,0
2015-06-23,1.53,1.53,1.47,1.48,3107,0
2015-06-24,1.47,1.47,1.45,1.45,23500,0
2015-06-25,1.48,1.55,1.45,1.55,21800,0
2015-06-26,1.58,1.74,1.58,1.67,28800,0
2015-06-29,1.67,1.67,1.5,1.51,37000,0
2015-06-30,1.56,1.56,1.5,1.51,7740,0
2015-07-01,1.59,1.59,1.51,1.51,900,0
2015-07-02,1.55,1.58,1.53,1.57,57900,0
2015-07-06,1.66,1.66,1.56,1.56,2500,0
2015-07-07,1.55,1.59,1.54,1.59,500,0
2015-07-08,1.62,1.67,1.55,1.55,15500,0
2015-07-09,1.55,1.55,1.55,1.55,600,0
2015-07-10,1.55,1.59,1.55,1.56,2200,0
2015-07-13,1.53,1.61,1.53,1.6,2900,0
2015-07-14,1.58,1.66,1.58,1.6,25546,0
2015-07-15,1.68,1.74,1.67,1.67,17215,0
2015-07-16,1.67,1.7,1.6,1.67,8700,0
2015-07-17,1.61,1.61,1.6,1.6,1500,0
2015-07-20,1.66,1.7,1.63,1.69,7700,0
2015-07-21,1.69,1.69,1.69,1.69,400,0
2015-07-22,1.69,1.69,1.61,1.69,2800,0
2015-07-23,1.64,1.64,1.6,1.63,13000,0
2015-07-24,1.6,1.68,1.6,1.66,15700,0
2015-07-27,1.6,1.62,1.6,1.62,1600,0
2015-07-28,1.62,1.68,1.62,1.64,12100,0
2015-07-29,1.65,1.65,1.63,1.65,5000,0
2015-07-30,1.65,1.65,1.64,1.64,4100,0
2015-08-03,1.62,1.65,1.6,1.61,12956,0
2015-08-04,1.6,1.66,1.58,1.64,5500,0
2015-08-06,1.64,1.75,1.64,1.7,10268,0
2015-08-07,1.75,2.01,1.75,1.77,39300,0
2015-08-10,1.78,1.85,1.76,1.8,6500,0
2015-08-11,1.77,1.77,1.73,1.73,3353,0
2015-08-12,1.71,1.84,1.7,1.75,9300,0
2015-08-13,1.74,1.75,1.7,1.75,25200,0
2015-08-14,1.73,1.83,1.69,1.83,9500,0
2015-08-17,1.86,1.86,1.79,1.81,1500,0
2015-08-18,1.82,1.82,1.78,1.79,3000,0
2015-08-19,1.82,1.82,1.73,1.73,5100,0
2015-08-20,1.74,1.75,1.7,1.73,5500,0
2015-08-21,1.72,1.72,1.71,1.72,1400,0
2015-08-24,1.62,1.69,1.59,1.65,4722,0
2015-08-25,1.63,1.63,1.63,1.63,1300,0
2015-08-26,1.58,1.75,1.58,1.66,9200,0
2015-08-27,1.7,1.7,1.65,1.65,2400,0
2015-08-28,1.75,1.75,1.66,1.66,9600,0
2015-08-31,1.7,1.76,1.65,1.65,4400,0
2015-09-01,1.68,1.73,1.63,1.65,8700,0
2015-09-02,1.73,1.8,1.65,1.66,6700,0
2015-09-03,1.71,1.79,1.61,1.71,8800,0
2015-09-04,1.75,1.8,1.64,1.79,14400,0
2015-09-08,1.79,1.8,1.73,1.79,28600,0
2015-09-09,1.8,1.8,1.72,1.75,8400,0
2015-09-10,1.69,1.8,1.65,1.8,10432,0
2015-09-11,1.72,1.79,1.63,1.79,18400,0
2015-09-14,1.78,1.78,1.7,1.75,10500,0
2015-09-15,1.75,1.8,1.74,1.8,13300,0
2015-09-16,1.78,1.78,1.65,1.73,12800,0
2015-09-17,1.77,1.77,1.63,1.64,10816,0
2015-09-18,1.7,1.75,1.6,1.6,19900,0
2015-09-21,1.69,1.8,1.69,1.74,8800,0
2015-09-22,1.74,1.74,1.7,1.74,1000,0
2015-09-23,1.73,1.79,1.7,1.7,14022,0
2015-09-24,1.7,1.7,1.69,1.69,6544,0
2015-09-25,1.65,1.7,1.63,1.66,40000,0
2015-09-28,1.63,1.68,1.55,1.62,31993,0
2015-09-29,1.59,1.7,1.59,1.7,21300,0
2015-09-30,1.7,1.7,1.6,1.68,1200,0
2015-10-01,1.76,1.8,1.7,1.8,58300,0
2015-10-02,1.8,1.84,1.77,1.77,48700,0
2015-10-05,1.84,1.85,1.77,1.82,22525,0
2015-10-06,1.85,1.85,1.73,1.77,29500,0
2015-10-07,1.69,1.8,1.69,1.74,3142,0
2015-10-08,1.68,1.73,1.68,1.7,600,0
2015-10-09,1.68,1.7,1.67,1.7,27400,0
2015-10-12,1.77,1.78,1.67,1.67,19719,0
2015-10-13,1.73,1.74,1.63,1.64,12300,0
2015-10-14,1.69,1.75,1.63,1.68,13300,0
2015-10-15,1.72,1.72,1.72,1.72,3300,0
2015-10-16,1.69,1.69,1.66,1.69,19700,0
2015-10-19,1.67,1.8,1.66,1.79,9737,0
2015-10-20,1.75,1.75,1.65,1.68,5100,0
2015-10-21,1.75,1.77,1.75,1.77,7400,0
2015-10-22,1.69,1.75,1.65,1.75,30000,0
2015-10-23,1.68,1.76,1.68,1.7,5100,0
2015-10-26,1.69,1.72,1.69,1.7,15900,0
2015-10-27,1.7,1.79,1.7,1.75,4400,0
2015-10-28,1.73,1.73,1.7,1.7,9900,0
2015-10-29,1.78,1.79,1.68,1.71,20700,0
2015-10-30,1.68,1.71,1.68,1.71,600,0
2015-11-02,1.69,1.72,1.68,1.71,15384,0
2015-11-03,1.72,1.77,1.65,1.66,28068,0
2015-11-04,1.65,1.68,1.63,1.68,18314,0
2015-11-05,1.64,1.65,1.63,1.63,7000,0
2015-11-06,1.63,1.72,1.63,1.72,500,0
2015-11-09,1.72,1.72,1.72,1.72,825,0
2015-11-10,1.73,1.74,1.68,1.74,2400,0
2015-11-11,1.76,1.76,1.65,1.65,17500,0
2015-11-12,1.65,1.68,1.63,1.63,11500,0
2015-11-13,1.63,1.63,1.6,1.63,10600,0
2015-11-16,1.59,1.59,1.34,1.35,46500,0
2015-11-17,1.21,1.21,0.95,1.05,89700,0
2015-11-18,1.09,1.12,1.05,1.06,12000,0
2015-11-19,1.06,1.11,1.03,1.04,11000,0
2015-11-20,1.1,1.12,1.09,1.12,7400,0
2015-11-23,1.02,1.07,1.02,1.04,2700,0
2015-11-24,1.09,1.1,1.02,1.05,12400,0
2015-11-25,1.11,1.16,0.94,1.02,20400,0
2015-11-27,1.08,1.08,1.02,1.02,5500,0
2015-11-30,1.04,1.19,1.03,1.18,8600,0
2015-12-01,1.17,1.2,1.09,1.09,9139,0
2015-12-02,1.15,1.4,1.15,1.2,82674,0
2015-12-03,1.25,1.25,1.05,1.05,8017,0
2015-12-04,1.12,1.12,1.05,1.07,21500,0
2015-12-07,1.05,1.15,1.0,1.11,16700,0
2015-12-08,1.09,1.14,1.08,1.12,11778,0
2015-12-09,1.05,1.1,1.03,1.08,11900,0
2015-12-10,1.1,1.1,1.05,1.08,5200,0
2015-12-11,1.05,1.06,1.03,1.05,7000,0
2015-12-14,1.09,1.12,1.03,1.06,21900,0
2015-12-15,1.07,1.07,1.01,1.05,8000,0
2015-12-16,1.02,1.04,1.02,1.04,10700,0
2015-12-17,1.01,1.05,1.01,1.02,7500,0
2015-12-18,1.02,1.02,0.89,0.94,32100,0
2015-12-21,0.95,0.99,0.95,0.96,8200,0
2015-12-22,0.94,0.97,0.94,0.95,8027,0
2015-12-23,0.95,0.98,0.91,0.94,13500,0
2015-12-24,0.95,0.95,0.92,0.93,8046,0
2015-12-28,0.91,0.97,0.91,0.9301,17503,0
2015-12-29,0.91,0.93,0.85,0.86,24247,0
2015-12-30,0.9,0.93,0.86,0.93,65395,0
2015-12-31,0.93,0.93,0.8801,0.9189,25453,0
2016-01-04,0.923,0.982,0.87,0.982,26482,0
2016-01-05,0.98,0.98,0.95,0.9707,8500,0
2016-01-06,0.9076,0.9575,0.9,0.91,7239,0
2016-01-07,0.85,0.95,0.85,0.95,5543,0
2016-01-08,0.96,0.9813,0.88,0.9,6233,0
2016-01-11,0.97,0.98,0.9201,0.9201,3718,0
2016-01-12,0.92,0.9201,0.86,0.8601,27682,0
2016-01-13,0.87,0.8848,0.78,0.8584,48463,0
2016-01-14,0.82,0.8663,0.82,0.863,4711,0
2016-01-15,0.87,0.89,0.82,0.82,7696,0
2016-01-19,0.75,0.79,0.74,0.76,41000,0
2016-01-20,0.71,0.75,0.7,0.7101,31750,0
2016-01-21,0.73,0.73,0.69,0.7,5114,0
2016-01-22,0.72,0.73,0.69,0.7,18291,0
2016-01-25,0.7,0.7032,0.69,0.69,7033,0
2016-01-26,0.69,0.7016,0.69,0.7016,7680,0
2016-01-27,0.6984,0.7,0.69,0.695,32383,0
2016-01-29,0.71,0.71,0.7,0.7,3575,0
2016-02-01,0.71,0.71,0.6601,0.6659,23995,0
2016-02-02,0.65,0.6899,0.65,0.6501,17305,0
2016-02-03,0.65,0.67,0.5741,0.5741,35965,0
2016-02-04,0.54,0.6197,0.54,0.5653,2843,0
2016-02-05,0.5653,0.5653,0.54,0.54,9300,0
2016-02-08,0.52,0.52,0.46,0.46,12621,0
2016-02-09,0.44,0.488,0.44,0.47,13858,0
2016-02-10,0.47,0.47,0.4501,0.47,5972,0
2016-02-11,0.45,0.475,0.45,0.45,15291,0
2016-02-12,0.47,0.518,0.47,0.4721,8000,0
2016-02-16,0.51,0.51,0.5044,0.5044,1420,0
2016-02-17,0.4,0.5,0.4,0.45,25019,0
2016-02-18,0.45,0.45,0.38,0.3902,20010,0
2016-02-19,0.3801,0.4,0.36,0.36,32019,0
2016-02-22,0.36,0.38,0.359,0.37,32413,0
2016-02-23,0.3701,0.38,0.37,0.37,10600,0
2016-02-24,0.3799,0.4,0.3706,0.38,19366,0
2016-02-25,0.3845,0.4333,0.3706,0.3706,12085,0
2016-02-26,0.3706,0.39,0.3706,0.3706,9832,0
2016-02-29,0.371,0.39,0.3706,0.3706,5262,0
2016-03-01,0.4,0.4,0.3706,0.38,27271,0
2016-03-02,0.38,0.4,0.38,0.4,6791,0
2016-03-03,0.42,0.5,0.42,0.47,63904,0
2016-03-04,0.45,0.5,0.45,0.48,11931,0
2016-03-07,0.43,0.5,0.43,0.47,39601,0
2016-03-08,0.46,0.47,0.44,0.44,1775,0
2016-03-09,0.44,0.46,0.44,0.44,5443,0
2016-03-10,0.45,0.48,0.45,0.475,6102,0
2016-03-11,0.4998,0.56,0.49,0.55,43784,0
2016-03-14,0.55,0.58,0.535,0.55,12260,0
2016-03-15,0.51,0.52,0.45,0.49,40313,0
2016-03-16,0.4651,0.51,0.4651,0.51,8889,0
2016-03-17,0.465,0.56,0.465,0.502,38219,0
2016-03-18,0.495,0.55,0.45,0.49,55285,0
2016-03-21,0.48,0.5,0.465,0.4699,18295,0
2016-03-22,0.45,0.48,0.45,0.4799,28413,0
2016-03-23,0.465,0.4836,0.45,0.4836,15158,0
2016-03-28,0.5,0.5,0.4801,0.49,2253,0
2016-03-29,0.45,0.51,0.45,0.49,22691,0
2016-03-30,0.47,0.5,0.47,0.49,11570,0
2016-03-31,0.51,0.55,0.47,0.49,53596,0
2016-04-01,0.5145,0.5145,0.47,0.47,2227,0
2016-04-04,0.47,0.495,0.47,0.495,779,0
2016-04-05,0.4953,0.51,0.48,0.49,9681,0
2016-04-06,0.49,0.49,0.4899,0.4899,4850,0
2016-04-07,0.49,0.51,0.49,0.49,10033,0
