Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,91.177,91.9,89.664,90.494,1583155,0
2015-01-05,87.441,90.223,87.441,89.097,1896046,0
2015-01-06,89.271,89.973,88.164,88.971,1926643,0
2015-01-07,89.607,90.964,89.493,90.655,1189681,0
2015-01-08,91.494,92.429,91.494,92.199,1421698,0
2015-01-09,91.9,92.227,90.924,91.082,790297,0
2015-01-12,91.371,91.371,90.359,90.522,802342,0
2015-01-13,91.137,91.939,89.857,90.715,1169682,0
2015-01-14,89.811,89.905,88.269,89.782,2063094,0
2015-01-15,90.08,90.08,88.036,88.096,1548825,0
2015-01-16,87.692,89.107,87.411,89.011,1490969,0
2015-01-20,89.587,89.753,87.326,88.259,1967565,0
2015-01-21,87.953,88.991,87.738,88.682,1201278,0
2015-01-22,89.011,89.895,88.335,89.895,1326763,0
2015-01-23,89.772,90.223,89.156,89.251,998602,0
2015-01-26,88.981,89.233,88.365,89.107,1124613,0
2015-01-27,88.317,89.522,87.944,88.896,1569069,0
2015-01-28,89.654,91.514,89.057,89.298,1972471,0
2015-01-29,89.146,90.233,88.046,90.194,1351086,0
2015-01-30,89.165,89.684,87.556,87.664,1353388,0
2015-02-02,87.953,88.355,86.489,88.345,1296839,0
2015-02-03,88.722,89.336,87.999,89.29,1086214,0
2015-02-04,89.597,90.032,88.818,89.029,1617863,0
2015-02-05,89.625,90.436,89.454,90.185,1308684,0
2015-02-06,90.118,90.494,88.981,89.261,1228010,0
2015-02-09,88.644,89.454,88.056,88.482,824626,0
2015-02-10,89.057,89.713,88.712,89.597,688153,0
2015-02-11,89.541,90.04,88.916,89.503,871173,0
2015-02-12,89.973,90.214,89.434,89.895,1004456,0
2015-02-13,89.743,91.034,89.616,90.994,1220518,0
2015-02-17,91.014,91.66,90.426,91.533,1392326,0
2015-02-18,91.572,91.763,90.934,91.706,1047205,0
2015-02-19,91.563,91.841,90.803,91.044,871420,0
2015-02-20,90.465,91.783,90.262,91.706,1158816,0
2015-02-23,91.706,92.236,91.514,92.042,909726,0
2015-02-24,91.841,92.14,91.137,91.351,1136096,0
2015-02-25,91.157,91.38,90.774,91.054,1028698,0
2015-02-26,91.091,91.331,90.522,90.887,1036790,0
2015-02-27,90.934,91.706,90.84,91.224,1391818,0
2015-03-02,91.303,92.599,91.303,92.439,1123082,0
2015-03-03,92.15,92.266,88.808,89.001,3109277,0
2015-03-04,88.916,89.568,88.144,88.934,1649153,0
2015-03-05,88.916,89.664,88.906,89.531,1603144,0
2015-03-06,89.057,89.057,86.469,86.72,2212204,0
2015-03-09,87.007,87.757,86.998,87.635,1061182,0
2015-03-10,86.767,87.479,86.497,86.941,1598262,0
2015-03-11,86.998,87.576,86.767,87.095,1149985,0
2015-03-12,87.18,88.617,87.095,87.692,928962,0
2015-03-13,88.482,88.962,87.335,87.894,1302873,0
2015-03-16,88.491,89.577,88.424,89.326,1222481,0
2015-03-17,88.664,89.001,88.279,88.472,1076344,0
2015-03-18,88.164,90.339,87.904,89.644,1435610,0
2015-03-19,89.56,90.271,89.386,90.09,982036,0
2015-03-20,90.541,90.887,89.963,90.166,2183122,0
2015-03-23,90.012,90.675,89.684,90.223,954303,0
2015-03-24,90.09,90.821,89.885,89.943,998237,0
2015-03-25,90.04,90.735,88.778,88.856,1236087,0
2015-03-26,88.482,88.793,87.914,88.126,929242,0
2015-03-27,88.198,89.617,88.198,89.454,1227269,0
2015-03-30,89.994,90.71,89.695,90.41,1051801,0
2015-03-31,89.754,90.44,89.155,89.155,1241201,0
2015-04-01,89.356,89.474,87.588,88.121,2075765,0
2015-04-02,87.191,88.786,87.163,88.061,1079325,0
2015-04-06,87.413,89.086,87.328,88.68,1192626,0
2015-04-07,88.855,89.29,88.391,88.41,1074947,0
2015-04-08,88.604,89.241,88.341,88.932,1131267,0
2015-04-09,88.709,89.984,88.535,89.945,1428079,0
2015-04-10,89.878,90.903,89.803,90.594,1140993,0
2015-04-13,90.226,90.817,89.833,89.975,1381155,0
2015-04-14,89.783,90.15,88.816,89.434,1529430,0
2015-04-15,89.541,89.85,89.009,89.193,778252,0
2015-04-16,89.056,89.29,88.699,89.086,907496,0
2015-04-17,88.468,89.675,88.111,89.396,2113222,0
2015-04-20,89.878,90.4,89.617,90.216,1392028,0
2015-04-21,90.846,91.629,90.584,91.531,2027526,0
2015-04-22,91.811,94.035,91.811,93.212,2549190,0
2015-04-23,93.212,94.152,92.971,93.916,1676464,0
2015-04-24,93.523,93.897,93.232,93.646,1329131,0
2015-04-27,94.17,94.17,91.329,91.454,1904933,0
2015-04-28,91.444,92.21,90.41,91.909,1675340,0
2015-04-29,91.762,91.762,90.053,91.154,1303651,0
2015-04-30,90.459,90.836,88.689,89.145,1990299,0
2015-05-01,89.695,90.313,89.376,90.265,1320002,0
2015-05-04,90.508,90.99,90.323,90.489,1081186,0
2015-05-05,90.083,90.41,89.366,89.783,1064320,0
2015-05-06,90.236,90.333,89.036,89.454,1019050,0
2015-05-07,89.27,90.15,89.27,89.503,829348,0
2015-05-08,90.622,91.619,90.353,91.387,1302205,0
2015-05-11,91.415,91.696,91.04,91.192,767251,0
2015-05-12,90.826,90.98,89.917,89.955,1136405,0
2015-05-13,90.024,90.66,89.598,89.793,849897,0
2015-05-14,90.517,92.141,90.207,92.061,1365528,0
2015-05-15,92.033,92.471,91.811,92.302,1304716,0
2015-05-18,92.481,93.636,92.322,93.348,1030328,0
2015-05-19,93.242,93.706,92.932,93.436,1061624,0
2015-05-20,93.426,94.295,93.426,93.533,1017984,0
2015-05-21,93.406,93.589,92.902,93.166,770148,0
2015-05-22,92.962,93.466,92.574,93.203,1312756,0
2015-05-26,93.136,93.136,92.101,92.322,1204816,0
2015-05-27,92.779,93.541,92.342,93.348,920287,0
2015-05-28,93.222,93.686,92.612,93.011,892505,0
2015-05-29,92.77,93.861,92.519,92.902,1376185,0
2015-06-01,93.426,93.589,92.237,92.893,860287,0
2015-06-02,92.537,93.396,91.947,92.883,803916,0
2015-06-03,93.049,93.212,92.401,92.816,625906,0
2015-06-04,92.554,92.751,91.551,91.851,1001615,0
2015-06-05,91.851,92.181,91.32,92.004,810087,0
2015-06-08,91.772,92.257,91.424,91.444,631805,0
2015-06-09,91.3,91.561,90.799,91.0,783436,0
2015-06-10,91.329,92.883,91.0,92.788,1236046,0
2015-06-11,92.893,93.599,92.652,93.3,826212,0
2015-06-12,92.883,93.252,92.322,92.461,651052,0
2015-06-15,91.86,91.977,90.75,91.492,1228843,0
2015-06-16,91.396,92.111,91.201,91.967,745314,0
2015-06-17,92.141,92.292,91.396,91.909,709926,0
2015-06-18,92.21,94.065,92.171,93.889,1119056,0
2015-06-19,93.804,94.035,93.466,93.627,1174829,0
2015-06-22,94.225,94.615,93.966,94.132,625699,0
2015-06-23,94.035,94.394,93.242,93.376,991125,0
2015-06-24,93.176,94.005,92.902,93.476,1441790,0
2015-06-25,93.636,93.916,93.059,93.212,889763,0
2015-06-26,93.576,94.992,93.412,94.412,1539116,0
2015-06-29,93.752,94.402,92.413,92.492,1189082,0
2015-06-30,93.402,93.576,92.483,92.694,1011193,0
2015-07-01,93.334,93.529,92.567,93.18,807191,0
2015-07-02,93.353,93.392,92.383,92.879,661095,0
2015-07-06,92.062,93.161,91.919,93.101,878537,0
2015-07-07,93.481,94.072,92.192,93.983,1043810,0
2015-07-08,93.547,93.615,92.53,92.548,935141,0
2015-07-09,93.84,93.954,92.763,92.782,978752,0
2015-07-10,93.791,93.993,92.926,93.472,1230633,0
2015-07-13,94.082,94.75,93.993,94.693,768629,0
2015-07-14,94.828,95.526,94.516,95.303,808193,0
2015-07-15,95.322,95.341,94.508,94.575,1097777,0
2015-07-16,95.332,95.371,94.469,95.215,1144541,0
2015-07-17,94.926,95.283,94.526,95.253,894208,0
2015-07-20,95.313,95.691,95.1,95.42,644805,0
2015-07-21,95.497,96.253,95.263,96.079,1258678,0
2015-07-22,95.913,96.224,95.12,95.574,1390854,0
2015-07-23,95.982,95.982,95.06,95.293,1662839,0
2015-07-24,97.035,100.86,96.827,97.93,3105861,0
2015-07-27,97.803,98.147,96.69,97.006,2240419,0
2015-07-28,97.538,98.694,96.968,98.563,1148356,0
2015-07-29,99.001,99.233,98.327,98.921,1260743,0
2015-07-30,98.763,98.961,98.267,98.783,695016,0
2015-07-31,98.862,99.69,98.544,99.2,1281360,0
2015-08-03,99.243,99.6,97.891,98.465,1001889,0
2015-08-04,98.754,99.343,98.225,98.435,941945,0
2015-08-05,99.17,100.24,98.941,100.0,1485295,0
2015-08-06,99.86,100.36,97.99,98.277,1195597,0
