Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,70.907,71.145,69.291,70.168,858530,0
2015-01-05,69.72,70.508,69.617,69.738,1357070,0
2015-01-06,70.214,70.643,68.777,69.408,1430353,0
2015-01-07,70.415,71.763,70.241,71.63,1587050,0
2015-01-08,73.186,74.146,73.177,73.842,1908637,0
2015-01-09,74.119,74.869,73.576,73.701,1255561,0
2015-01-12,73.53,73.977,72.571,73.11,838697,0
2015-01-13,73.767,74.451,71.573,72.361,1299953,0
2015-01-14,71.033,71.62,70.679,71.231,1748932,0
2015-01-15,70.661,71.583,70.329,70.832,1767936,0
2015-01-16,70.489,71.402,70.158,71.297,1437382,0
2015-01-20,71.554,72.171,70.679,71.467,1116784,0
2015-01-21,71.24,72.98,70.983,72.827,950388,0
2015-01-22,73.036,74.318,72.447,74.186,1124118,0
2015-01-23,74.196,74.583,73.842,74.186,1056025,0
2015-01-26,73.749,74.71,73.604,74.27,1066455,0
2015-01-27,73.405,73.957,72.619,73.673,1330205,0
2015-01-28,73.928,74.972,73.246,73.347,1064863,0
2015-01-29,73.375,74.176,72.189,74.127,1425134,0
2015-01-30,73.356,73.624,72.019,72.133,1308488,0
2015-02-02,72.571,72.692,71.373,72.418,1222872,0
2015-02-03,72.9,73.986,72.627,73.948,1635023,0
2015-02-04,73.729,74.68,73.557,73.786,999867,0
2015-02-05,73.967,74.345,73.405,74.299,1589091,0
2015-02-06,74.289,74.423,73.206,73.303,974177,0
2015-02-09,73.11,73.11,72.208,72.522,2103444,0
2015-02-10,73.294,74.442,68.258,69.55,7716524,0
2015-02-11,69.272,70.158,69.015,69.351,2656521,0
2015-02-12,69.351,70.119,69.132,70.09,1520623,0
2015-02-13,69.91,70.081,68.627,69.18,1889111,0
2015-02-17,69.321,72.247,69.16,72.105,2409756,0
2015-02-18,71.867,72.627,71.24,72.447,1373896,0
2015-02-19,72.267,72.627,71.648,71.705,1496754,0
2015-02-20,71.287,73.017,70.888,72.8,1467111,0
2015-02-23,72.93,73.264,72.692,72.96,740023,0
2015-02-24,73.017,73.216,72.388,72.741,1047904,0
2015-02-25,72.531,72.8,72.053,72.283,899271,0
2015-02-26,72.158,73.916,72.148,73.772,1315567,0
2015-02-27,73.648,74.021,72.321,72.484,2088393,0
2015-03-02,72.396,72.78,72.215,72.501,798131,0
2015-03-03,72.406,72.484,71.299,71.375,1357022,0
2015-03-04,70.943,71.605,70.943,70.963,1466119,0
2015-03-05,71.023,71.67,70.86,71.098,1417852,0
2015-03-06,70.677,71.174,70.086,70.898,1468843,0
2015-03-09,70.973,71.689,70.832,71.452,1027110,0
2015-03-10,70.677,70.973,70.076,70.124,1081451,0
2015-03-11,70.211,70.515,69.933,70.373,1473133,0
2015-03-12,70.422,72.312,70.286,71.576,1328648,0
2015-03-13,72.235,72.302,71.155,71.689,2267182,0
2015-03-16,71.624,72.474,71.624,71.958,1644634,0
2015-03-17,71.49,71.68,70.315,70.496,1491038,0
2015-03-18,70.456,71.661,69.044,70.813,1953709,0
2015-03-19,70.706,70.813,69.502,69.866,1213162,0
2015-03-20,70.153,71.661,69.896,71.222,1444550,0
2015-03-23,71.49,71.509,70.402,70.429,1250330,0
2015-03-24,70.496,70.659,69.723,69.76,1323412,0
2015-03-25,69.886,69.886,68.653,68.765,2784402,0
2015-03-26,68.804,69.15,68.28,68.95,1260594,0
2015-03-27,68.814,70.257,68.702,69.971,2370207,0
2015-03-30,70.228,71.633,69.78,71.375,1241118,0
2015-03-31,71.06,71.67,70.392,71.108,1804134,0
2015-04-01,70.696,71.202,70.143,71.164,1636152,0
2015-04-02,71.232,72.101,70.973,72.015,1257032,0
2015-04-06,71.576,73.259,71.519,72.741,1893612,0
2015-04-07,72.731,74.851,72.731,74.728,3055642,0
2015-04-08,74.651,75.271,73.829,75.139,2879887,0
2015-04-09,75.129,75.626,74.125,74.422,2729597,0
2015-04-10,74.241,74.711,73.897,74.403,2222789,0
2015-04-13,74.489,74.528,73.189,73.189,2060399,0
2015-04-14,73.249,73.599,72.921,73.506,1771844,0
2015-04-15,73.619,74.002,73.287,73.429,1051729,0
2015-04-16,73.296,73.81,73.259,73.459,1659153,0
2015-04-17,73.0,73.792,72.951,73.515,1906279,0
2015-04-20,73.8,74.107,72.359,72.57,2061393,0
2015-04-21,72.589,73.131,72.312,72.521,1169870,0
2015-04-22,72.521,72.79,71.797,72.139,1119386,0
2015-04-23,72.053,72.292,71.661,71.747,913196,0
2015-04-24,72.092,72.121,71.193,71.757,1012277,0
