Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,3.84,3.85,3.7,3.8,61652,0
2015-01-05,3.84,3.88,3.71,3.77,56895,0
2015-01-06,3.77,3.8,3.64,3.76,93781,0
2015-01-07,3.71,3.8,3.63,3.69,54462,0
2015-01-08,3.69,3.75,3.68,3.69,49172,0
2015-01-09,3.68,3.7,3.64,3.7,48537,0
2015-01-12,3.7,3.7005,3.6,3.65,89137,0
2015-01-13,3.63,3.641,3.46,3.5,243790,0
2015-01-14,3.46,3.5432,3.41,3.43,73923,0
2015-01-15,3.46,3.487,3.39,3.4,50852,0
2015-01-16,3.37,3.577,3.37,3.49,38391,0
2015-01-20,3.49,3.499,3.24,3.33,140311,0
2015-01-21,3.3699,3.39,3.21,3.23,69890,0
2015-01-22,3.24,3.3,3.013,3.15,120597,0
2015-01-23,3.21,3.21,3.13,3.19,34641,0
2015-01-26,3.29,3.32,3.13,3.3,43745,0
2015-01-27,3.25,3.35,3.08,3.21,77033,0
2015-01-28,3.19,3.29,3.19,3.27,115475,0
2015-01-29,3.28,3.43,3.24,3.28,46389,0
2015-01-30,3.28,3.4,3.21,3.4,42760,0
2015-02-02,3.37,3.4,3.26,3.3,30397,0
2015-02-03,3.34,3.485,3.19,3.28,47710,0
2015-02-04,3.24,3.35,3.21,3.21,40858,0
2015-02-05,3.24,3.39,3.2,3.35,31018,0
2015-02-06,3.38,3.38,3.26,3.27,23083,0
2015-02-09,3.23,3.38,3.23,3.26,47067,0
2015-02-10,3.3,3.36,3.219,3.3,34984,0
2015-02-11,3.35,3.37,3.31,3.32,21320,0
2015-02-12,3.29,3.355,3.16,3.23,64853,0
2015-02-13,3.22,3.3299,3.18,3.22,77939,0
2015-02-17,3.2,3.27,3.1,3.2,123679,0
2015-02-18,3.23,3.31,3.2,3.3,35432,0
2015-02-19,3.26,3.2901,3.15,3.21,72648,0
2015-02-20,3.2004,3.3485,3.2,3.31,69181,0
2015-02-23,3.27,3.33,3.2002,3.22,28452,0
2015-02-24,3.25,3.28,3.15,3.16,49938,0
2015-02-25,3.13,3.27,3.03,3.27,65165,0
2015-02-26,3.24,3.24,3.16,3.2,19042,0
2015-02-27,3.2399,3.2399,3.15,3.15,16982,0
2015-03-02,3.16,3.25,3.15,3.2,40800,0
2015-03-03,3.18,3.27,3.14,3.19,57200,0
2015-03-04,3.17,3.29,3.14,3.28,31600,0
2015-03-05,3.4,3.49,3.25,3.28,98800,0
2015-03-06,3.24,3.25,3.2,3.22,52000,0
2015-03-09,3.21,3.21,3.03,3.13,71300,0
2015-03-10,3.08,3.12,3.08,3.08,66300,0
2015-03-11,3.11,3.17,3.0,3.07,59600,0
2015-03-12,3.1,3.1,3.01,3.03,42600,0
2015-03-13,3.02,3.05,2.93,3.01,123500,0
2015-03-16,2.98,3.02,2.88,2.94,67800,0
2015-03-17,2.94,3.01,2.94,2.94,28700,0
2015-03-18,3.06,3.1,2.97,3.1,73200,0
2015-03-19,3.1,3.25,3.04,3.23,45400,0
2015-03-20,3.22,3.28,3.15,3.15,13600,0
2015-03-23,3.15,3.31,3.15,3.25,35500,0
2015-03-24,3.27,3.31,3.26,3.29,14900,0
2015-03-25,3.3,3.3,3.25,3.25,14700,0
2015-03-26,3.25,3.27,3.14,3.17,35300,0
2015-03-27,3.27,3.27,3.02,3.14,37800,0
2015-03-30,3.15,3.17,3.11,3.14,8400,0
2015-03-31,3.1,3.29,3.02,3.26,61454,0
2015-04-01,3.23,3.43,3.2,3.43,56200,0
2015-04-02,3.31,3.5,3.31,3.5,72500,0
2015-04-06,3.36,3.53,3.36,3.41,32200,0
2015-04-07,3.45,3.49,3.3438,3.44,38295,0
2015-04-08,3.48,3.54,3.43,3.53,44000,0
2015-04-09,3.54,3.54,3.36,3.48,33694,0
2015-04-10,3.46,3.54,3.38,3.47,23900,0
2015-04-13,3.45,3.53,3.45,3.49,30000,0
2015-04-14,3.44,3.48,3.41,3.46,20100,0
2015-04-15,3.52,3.52,3.39,3.47,50342,0
2015-04-16,3.43,3.4786,3.4,3.42,23471,0
2015-04-17,3.42,3.47,3.4,3.44,26000,0
2015-04-20,3.43,3.46,3.41,3.46,8233,0
2015-04-21,3.44,3.5,3.43,3.5,14244,0
2015-04-22,3.52,3.54,3.4701,3.51,17598,0
2015-04-23,3.52,3.52,3.36,3.45,40200,0
2015-04-24,3.49,3.52,3.42,3.52,28883,0
2015-04-27,3.48,3.5,3.48,3.48,21200,0
2015-04-28,3.47,3.49,3.44,3.49,5395,0
2015-04-29,3.45,3.5,3.41,3.44,35900,0
2015-04-30,3.42,3.54,3.28,3.42,67500,0
2015-05-01,3.41,3.47,3.34,3.38,22600,0
2015-05-04,3.36,3.48,3.36,3.39,15500,0
2015-05-05,3.42,3.46,3.32,3.36,28600,0
2015-05-06,3.38,3.43,3.315,3.39,21520,0
2015-05-07,3.4,3.42,3.33,3.36,17989,0
2015-05-08,3.4,3.4,3.26,3.35,65500,0
2015-05-11,3.32,3.44,3.29,3.44,9400,0
2015-05-12,3.3201,3.5,3.3201,3.45,15864,0
2015-05-13,3.48,3.52,3.39,3.45,26400,0
2015-05-14,3.46,3.54,3.39,3.54,35600,0
2015-05-15,3.53,3.54,3.47,3.47,15664,0
2015-05-18,3.44,3.5,3.44,3.48,39164,0
2015-05-19,3.45,3.4852,3.45,3.48,30980,0
2015-05-20,3.47,3.5,3.45,3.47,58400,0
2015-05-21,3.48,3.5,3.46,3.5,27800,0
2015-05-22,3.48,3.54,3.47,3.53,130700,0
2015-05-26,3.5,3.54,3.5,3.51,10555,0
2015-05-27,3.49,3.64,3.47,3.58,461200,0
2015-05-28,3.55,3.8,3.54,3.6601,261051,0
2015-05-29,3.62,3.74,3.54,3.65,52000,0
2015-06-01,3.63,3.827,3.6001,3.7125,54049,0
2015-06-02,3.7001,3.754,3.654,3.74,44603,0
2015-06-03,3.83,3.84,3.73,3.79,42100,0
2015-06-04,3.77,3.83,3.73,3.74,10600,0
2015-06-05,3.72,3.74,3.68,3.72,18300,0
2015-06-08,3.7,3.7,3.65,3.65,24600,0
2015-06-09,3.67,3.7,3.63,3.7,21678,0
2015-06-10,3.7,3.82,3.68,3.78,38497,0
2015-06-11,3.81,3.825,3.73,3.73,60591,0
2015-06-12,3.75,3.78,3.75,3.76,20200,0
2015-06-15,3.72,3.8,3.7,3.78,16900,0
2015-06-16,3.8,3.8,3.75,3.76,23600,0
2015-06-17,3.79,3.8,3.66,3.73,55900,0
2015-06-18,3.72,3.83,3.7,3.74,26100,0
2015-06-19,3.72,3.76,3.72,3.75,9700,0
2015-06-22,3.75,3.8,3.73,3.74,22000,0
2015-06-23,3.78,3.8,3.73,3.75,20223,0
2015-06-24,3.75,3.81,3.74,3.74,27900,0
2015-06-25,3.73,3.81,3.73,3.75,55800,0
2015-06-26,3.75,3.79,3.73,3.74,57400,0
2015-06-29,3.73,3.74,3.7,3.7,26900,0
2015-06-30,3.73,3.73,3.68,3.69,26641,0
2015-07-01,3.7,3.71,3.65,3.69,72100,0
2015-07-02,3.65,3.68,3.64,3.67,4800,0
2015-07-06,3.58,3.74,3.58,3.66,76800,0
2015-07-07,3.63,3.7,3.63,3.67,20000,0
2015-07-08,3.65,3.74,3.65,3.67,21200,0
2015-07-09,3.67,3.72,3.67,3.7,34800,0
2015-07-10,3.72,3.72,3.68,3.72,17700,0
2015-07-13,3.7,3.79,3.7,3.74,6200,0
2015-07-14,3.78,3.8,3.77,3.79,19089,0
2015-07-15,3.8,3.8,3.71,3.74,15609,0
2015-07-16,3.69,3.7,3.65,3.65,45100,0
2015-07-17,3.63,3.68,3.5,3.67,51000,0
2015-07-20,3.67,3.82,3.67,3.73,19400,0
2015-07-21,3.79,3.79,3.73,3.73,10900,0
2015-07-22,3.77,3.8,3.7,3.73,32000,0
2015-07-23,3.73,3.78,3.73,3.77,23700,0
2015-07-24,3.74,3.83,3.71,3.78,48300,0
2015-07-27,3.78,3.88,3.78,3.81,77700,0
2015-07-28,3.86,3.86,3.71,3.72,29500,0
2015-07-29,3.71,3.77,3.67,3.68,12600,0
2015-07-30,3.66,3.75,3.65,3.67,15600,0
