Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,4.3827,4.5115,4.2886,4.4771,1465812,0
2015-01-05,4.4771,4.4771,4.2971,4.3743,1304234,0
2015-01-06,4.4601,4.6145,4.3743,4.4601,3095229,0
2015-01-07,4.5115,4.7859,4.4857,4.7689,2849091,0
2015-01-08,4.8031,5.2489,4.8031,5.2319,6052325,0
2015-01-09,5.2319,5.4207,5.1463,5.3864,3693367,0
2015-01-12,5.412,5.9181,5.3434,5.755,4893890,0
2015-01-13,5.7807,6.0467,5.215,5.4808,5549797,0
2015-01-14,5.3606,5.635,5.2406,5.5579,2175229,0
2015-01-15,5.6008,5.6269,5.0841,5.1874,3183394,0
2015-01-16,5.1012,5.2735,4.7911,5.1615,3268723,0
2015-01-20,5.1184,5.1701,4.9546,4.9976,1565165,0
2015-01-21,4.9804,5.0925,4.8083,4.8169,1906049,0
2015-01-22,4.8083,5.1271,4.7994,5.0581,1633574,0
2015-01-23,5.0064,5.0925,4.8254,5.0581,1495889,0
2015-01-26,5.0064,5.2219,4.9461,5.0409,1539996,0
2015-01-27,4.9976,5.015,4.8426,4.9461,1486546,0
2015-01-28,4.9374,5.0496,4.6875,4.7479,1371828,0
2015-01-29,4.7391,4.7479,4.6101,4.7134,1650701,0
2015-01-30,4.6875,4.7134,4.1532,4.4291,5065276,0
2015-02-02,4.4549,4.6101,4.3687,4.5841,1395878,0
2015-02-03,4.5668,4.6963,4.472,4.498,1434626,0
2015-02-04,4.4636,4.6875,4.4461,4.5929,1128435,0
2015-02-05,4.6272,4.7911,4.6186,4.7307,1587121,0
2015-02-06,4.7565,4.8426,4.7134,4.765,1915875,0
2015-02-09,4.7823,4.8169,4.5583,4.6013,1573837,0
2015-02-10,4.6186,4.7134,4.5497,4.7047,1559332,0
2015-02-11,4.7047,4.7738,4.6272,4.7134,1662465,0
2015-02-12,4.7738,4.7994,4.6272,4.6531,967943,0
2015-02-13,4.6703,4.7479,4.6186,4.7391,1123395,0
2015-02-17,4.8512,4.8512,4.6703,4.7565,1398804,0
2015-02-18,4.7738,5.015,4.7479,5.0064,2449969,0
2015-02-19,5.3425,5.4286,5.1097,5.2735,4755375,0
2015-02-20,5.3338,5.3338,5.0496,5.1356,2019043,0
2015-02-23,5.1442,5.4112,5.1184,5.3511,1844512,0
2015-02-24,5.3683,5.3855,5.2045,5.2735,1275798,0
2015-02-25,5.2477,5.2823,5.1012,5.1356,751075,0
2015-02-26,5.1529,5.2477,5.015,5.2131,889587,0
2015-02-27,5.308,5.308,5.0321,5.0409,990969,0
2015-03-02,5.0409,5.0841,4.8254,4.9804,1214600,0
2015-03-03,4.9374,5.1097,4.8858,5.0409,886172,0
2015-03-04,5.0409,5.0409,4.7911,4.8512,1283303,0
2015-03-05,4.8512,4.9546,4.7823,4.8083,663584,0
2015-03-06,4.8512,4.9804,4.8083,4.8254,835804,0
2015-03-09,4.8254,4.8686,4.6272,4.6618,952437,0
2015-03-10,4.5929,4.6359,4.3515,4.5756,1633780,0
2015-03-11,4.6013,4.7391,4.5756,4.6963,800062,0
2015-03-12,4.7391,4.7565,4.6101,4.6445,778824,0
2015-03-13,4.6531,4.6963,4.5239,4.6703,784279,0
2015-03-16,4.6703,4.6789,4.5756,4.6445,751902,0
2015-03-17,4.6618,4.8083,4.6445,4.7994,877238,0
2015-03-18,4.7911,4.9546,4.7391,4.9461,937815,0
2015-03-19,4.9546,5.0753,4.765,4.9804,963347,0
2015-03-20,5.0236,5.0409,4.6875,4.6963,1610337,0
2015-03-23,4.7479,4.8426,4.7307,4.7307,878515,0
2015-03-24,4.7479,4.8426,4.7221,4.8426,800993,0
2015-03-25,4.877,4.9115,4.6963,4.7047,762924,0
2015-03-26,4.7479,4.9976,4.7479,4.9893,1121411,0
2015-03-27,4.9976,4.9976,4.8254,4.8944,572484,0
2015-03-30,4.8944,4.9461,4.7911,4.929,778592,0
2015-03-31,4.8944,4.9461,4.8254,4.9461,776533,0
2015-04-01,4.9202,5.1184,4.9115,5.0496,1155763,0
2015-04-02,5.0496,5.1615,4.9546,5.1097,1135104,0
2015-04-06,5.1271,5.3166,5.1184,5.2993,1449025,0
2015-04-07,5.3425,5.3425,5.0409,5.0581,1151529,0
2015-04-08,5.0581,5.2045,5.0581,5.1097,970425,0
2015-04-09,5.1271,5.1529,4.9976,5.0753,750097,0
2015-04-10,5.1184,5.3597,5.0841,5.2993,1437187,0
2015-04-13,5.3597,5.5148,5.2906,5.4286,1140441,0
2015-04-14,5.4546,5.4976,5.3511,5.4201,1558229,0
2015-04-15,5.4372,5.5412,5.2643,5.3421,2257743,0
2015-04-16,5.3766,5.4201,5.2643,5.2727,1803204,0
2015-04-17,5.2554,5.368,5.2382,5.3594,1624254,0
2015-04-20,5.3941,5.4459,5.2987,5.3507,1073537,0
2015-04-21,5.368,5.5239,5.2901,5.4807,1521137,0
2015-04-22,5.5239,5.749,5.5067,5.6017,1352125,0
2015-04-23,5.5932,5.7576,5.5932,5.6883,1290119,0
2015-04-24,5.6969,5.8615,5.6883,5.7664,1107302,0
2015-04-27,5.775,5.9654,5.6192,5.6711,1882971,0
2015-04-28,5.7058,5.8097,5.6797,5.7576,993863,0
2015-04-29,5.7576,5.8009,5.5499,5.5845,1158448,0
2015-04-30,5.6017,5.6451,5.2727,5.4547,1917275,0
2015-05-01,5.4807,5.5152,5.3421,5.4459,1013729,0
2015-05-04,5.4459,5.6711,5.4372,5.5067,991900,0
2015-05-05,5.5239,5.6017,5.3853,5.4286,1213427,0
2015-05-06,5.4547,5.4719,5.3248,5.4459,1191775,0
2015-05-07,5.4372,5.4719,5.3333,5.3766,831837,0
2015-05-08,5.4026,5.4632,5.3507,5.3941,731567,0
2015-05-11,5.368,5.3941,4.9526,5.0303,3140402,0
2015-05-12,5.0303,5.1689,4.9958,5.0997,1639548,0
2015-05-13,5.1863,5.1863,4.9871,5.1169,1743565,0
2015-05-14,5.195,5.3594,5.1776,5.2643,2886191,0
2015-05-15,5.2816,5.6623,5.2727,5.6623,3342420,0
2015-05-18,5.749,5.8529,5.6623,5.8097,2116457,0
2015-05-19,5.8009,5.8703,5.6623,5.7837,1665023,0
2015-05-20,5.8009,5.8875,5.7058,5.8875,1741485,0
2015-05-21,5.9221,6.0608,5.8703,6.0,2041089,0
2015-05-22,6.026,6.3204,6.0173,6.2773,3104138,0
