Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,24.17,24.42,23.59,23.91,182956,0
2015-01-05,23.67,23.84,23.13,23.35,230152,0
2015-01-06,23.45,23.67,22.33,22.82,298093,0
2015-01-07,23.11,23.28,22.86,23.14,228318,0
2015-01-08,23.34,24.67,23.33,24.52,247374,0
2015-01-09,24.73,24.73,23.8,23.83,223548,0
2015-01-12,23.91,24.19,23.2,23.86,278979,0
2015-01-13,24.12,24.66,22.98,23.52,290065,0
2015-01-14,23.24,23.49,22.9,23.4,236793,0
2015-01-15,23.48,23.55,22.29,22.49,301355,0
2015-01-16,22.34,23.16,22.3,23.14,341511,0
2015-01-20,23.0,23.12,21.32,21.6,408609,0
2015-01-21,21.45,22.16,21.36,22.05,302766,0
2015-01-22,22.26,22.26,21.7,22.03,339131,0
2015-01-23,21.95,22.13,21.82,22.01,208070,0
2015-01-26,21.9,23.03,21.7,22.81,184304,0
2015-01-27,22.31,22.8,22.2,22.43,141835,0
2015-01-28,22.59,22.78,21.7,21.84,241716,0
2015-01-29,21.91,22.69,21.9,22.69,171016,0
2015-01-30,22.44,22.44,21.64,21.71,280931,0
2015-02-02,21.96,23.09,21.7,23.02,269126,0
2015-02-03,23.24,24.6,23.17,24.57,321897,0
2015-02-04,24.47,24.5,23.96,24.04,397830,0
2015-02-05,24.17,25.34,24.0,25.32,350725,0
2015-02-06,25.48,26.06,25.21,25.48,346049,0
2015-02-09,25.4,26.43,25.28,26.05,314275,0
2015-02-10,26.14,26.3,25.7,25.93,384827,0
2015-02-11,25.73,25.99,25.04,25.32,192022,0
2015-02-12,25.68,25.68,25.12,25.36,192301,0
2015-02-13,25.52,26.17,25.27,26.06,233518,0
2015-02-17,25.93,26.08,25.37,26.03,155898,0
2015-02-18,25.81,26.33,25.71,25.94,224998,0
2015-02-19,25.6,25.94,25.41,25.77,157043,0
2015-02-20,25.61,26.15,25.17,26.15,221215,0
2015-02-23,25.92,26.24,25.4,26.22,199668,0
2015-02-24,26.37,26.71,25.92,25.99,143644,0
2015-02-25,25.99,26.34,25.75,26.07,158998,0
2015-02-26,26.0,26.1,25.31,25.88,266412,0
2015-02-27,23.8,23.99,21.94,23.27,1496710,0
2015-03-02,23.21,23.21,22.51,22.93,496000,0
2015-03-03,22.9,23.39,22.57,23.37,484200,0
2015-03-04,23.23,23.39,22.7,22.77,239700,0
2015-03-05,22.68,22.91,22.21,22.33,218700,0
2015-03-06,22.25,22.42,20.91,21.03,447200,0
2015-03-09,21.0,21.09,20.44,20.94,395100,0
2015-03-10,20.57,20.8,20.24,20.54,376400,0
2015-03-11,20.66,20.95,20.49,20.94,318600,0
2015-03-12,21.17,21.86,21.05,21.66,414000,0
2015-03-13,21.47,21.65,21.05,21.54,276900,0
2015-03-16,21.68,21.95,21.46,21.8,365100,0
2015-03-17,21.55,22.2,21.55,22.15,259300,0
2015-03-18,21.94,22.5,21.82,22.42,266500,0
2015-03-19,22.17,22.64,22.17,22.58,337000,0
2015-03-20,22.8,23.39,22.65,23.27,344300,0
2015-03-23,23.24,24.05,23.24,23.76,304400,0
2015-03-24,23.69,23.71,23.26,23.48,161700,0
2015-03-25,23.61,23.75,23.05,23.07,203300,0
2015-03-26,22.99,23.32,22.76,23.1,159900,0
2015-03-27,23.1,23.25,22.6,23.04,314700,0
2015-03-30,23.24,23.47,22.92,23.11,254400,0
2015-03-31,22.73,23.42,22.69,23.35,323038,0
2015-04-01,23.37,23.52,22.79,23.21,227300,0
2015-04-02,23.22,23.97,23.22,23.61,168200,0
2015-04-06,23.49,23.96,23.27,23.92,217400,0
2015-04-07,23.89,24.13,23.65,23.65,159990,0
2015-04-08,23.53,23.89,23.48,23.5,177700,0
2015-04-09,23.55,23.77,23.18,23.56,174506,0
2015-04-10,23.81,23.89,23.65,23.73,109500,0
2015-04-13,23.76,23.77,23.34,23.5,186100,0
2015-04-14,23.63,23.73,23.43,23.5,167500,0
2015-04-15,23.57,24.74,23.57,24.45,216888,0
2015-04-16,24.33,24.46,24.0,24.09,109441,0
2015-04-17,23.76,23.76,23.16,23.17,202200,0
2015-04-20,23.37,23.53,23.19,23.41,220904,0
2015-04-21,23.51,23.51,23.04,23.09,152878,0
2015-04-22,23.04,23.26,22.62,23.18,90057,0
2015-04-23,23.08,23.23,22.59,23.03,128500,0
2015-04-24,22.99,23.08,22.72,22.86,79112,0
2015-04-27,22.99,23.17,22.52,22.82,191600,0
2015-04-28,22.8,23.15,22.57,23.13,160600,0
2015-04-29,23.0,23.1,22.4,22.4,147600,0
2015-04-30,22.17,22.24,21.18,21.2,426500,0
2015-05-01,21.2,21.62,21.0,21.47,204900,0
2015-05-04,21.56,21.94,21.43,21.45,218900,0
2015-05-05,21.5,22.06,21.5,21.91,232500,0
2015-05-06,22.1,22.12,21.66,22.09,178232,0
2015-05-07,21.98,22.42,21.9,22.4,256748,0
2015-05-08,22.5,22.89,21.33,22.68,515000,0
2015-05-11,22.67,23.09,22.58,22.68,175900,0
2015-05-12,22.45,22.72,22.09,22.42,170711,0
2015-05-13,22.49,23.09,22.42,23.0,176500,0
2015-05-14,23.22,23.4,22.9,23.12,95200,0
2015-05-15,23.08,23.08,22.75,22.88,103239,0
2015-05-18,22.65,23.2,22.65,23.1,160481,0
2015-05-19,23.11,23.42,22.65,22.91,141700,0
2015-05-20,22.98,23.49,22.78,23.29,373400,0
2015-05-21,23.29,23.46,22.88,22.91,125100,0
2015-05-22,22.73,23.09,21.71,22.17,249500,0
2015-05-26,22.0,22.0,21.35,21.58,208751,0
2015-05-27,21.6,21.98,21.16,21.93,141500,0
2015-05-28,21.73,21.8,20.86,20.88,322931,0
2015-05-29,20.91,21.12,20.63,20.96,205400,0
2015-06-01,20.98,21.19,20.5,20.79,218432,0
2015-06-02,20.8,21.47,20.65,21.19,256409,0
2015-06-03,21.87,22.75,21.75,22.49,408500,0
2015-06-04,22.25,22.46,22.01,22.13,161200,0
2015-06-05,22.0,22.97,21.73,22.82,370800,0
2015-06-08,23.24,23.6,22.69,22.8,227300,0
2015-06-09,22.9,23.06,22.44,22.49,134377,0
2015-06-10,22.79,23.6,22.79,23.57,243051,0
2015-06-11,23.8,23.87,23.05,23.58,309452,0
2015-06-12,23.44,23.79,23.2,23.79,270500,0
2015-06-15,23.49,23.88,23.05,23.63,371800,0
2015-06-16,23.52,23.67,23.2,23.6,495700,0
2015-06-17,23.86,24.18,23.7,23.87,313700,0
2015-06-18,24.1,24.31,23.77,23.9,440500,0
2015-06-19,23.79,24.0,23.64,23.75,542700,0
2015-06-22,23.81,23.86,23.45,23.55,481100,0
2015-06-23,23.52,23.66,23.34,23.4,396444,0
2015-06-24,23.31,23.6,23.26,23.28,332300,0
2015-06-25,23.37,23.37,22.38,22.45,366900,0
2015-06-26,22.5,22.79,22.27,22.7,827300,0
2015-06-29,22.53,22.79,22.03,22.14,506000,0
2015-06-30,22.27,22.31,21.5,21.58,345999,0
2015-07-01,21.76,21.86,20.97,21.02,426700,0
2015-07-02,21.14,21.14,20.81,20.83,260500,0
2015-07-06,20.52,20.81,20.41,20.62,260100,0
2015-07-07,20.56,20.67,19.88,20.18,336700,0
2015-07-08,19.91,20.06,19.35,19.46,373700,0
2015-07-09,19.86,20.3,19.54,19.95,525600,0
2015-07-10,20.24,20.68,20.08,20.62,281300,0
2015-07-13,20.5,20.87,20.43,20.46,148600,0
2015-07-14,20.41,21.09,20.34,21.05,263029,0
2015-07-15,20.95,21.11,20.38,20.46,252516,0
2015-07-16,20.7,20.86,20.5,20.71,227600,0
2015-07-17,20.68,20.68,20.25,20.6,272400,0
2015-07-20,20.58,20.66,20.28,20.6,420200,0
2015-07-21,20.64,21.44,20.53,20.84,199700,0
2015-07-22,20.71,20.89,20.55,20.73,178500,0
2015-07-23,20.78,20.78,20.15,20.2,274200,0
2015-07-24,20.11,20.14,19.74,19.91,332200,0
2015-07-27,19.62,19.82,19.28,19.43,176500,0
2015-07-28,19.59,20.15,19.41,19.91,189500,0
2015-07-29,19.92,20.42,19.53,20.34,243200,0
2015-07-30,20.19,20.85,20.15,20.64,210500,0
2015-07-31,20.75,21.04,20.46,20.93,315900,0
2015-08-03,20.97,21.1,20.3,20.43,184873,0
