Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,43.622,44.138,43.533,43.826,839336,0
2015-01-05,43.524,43.669,42.156,42.226,1346630,0
2015-01-06,42.015,42.015,40.413,40.787,2358764,0
2015-01-07,40.829,41.354,40.146,40.564,1499119,0
2015-01-08,40.957,41.576,40.687,41.212,1092532,0
2015-01-09,41.596,42.573,41.391,41.453,1955632,0
2015-01-12,41.346,41.453,39.365,39.81,1607753,0
2015-01-13,39.81,40.191,38.662,39.053,1438998,0
2015-01-14,38.802,39.416,37.442,39.142,2450865,0
2015-01-15,39.461,39.575,38.323,38.537,1462225,0
2015-01-16,38.403,39.639,38.268,39.365,1220045,0
2015-01-20,39.673,40.049,38.662,38.865,1471622,0
2015-01-21,39.024,39.639,38.784,38.944,1526900,0
2015-01-22,39.142,39.959,39.113,39.691,1162292,0
2015-01-23,39.711,39.993,39.56,39.852,1062714,0
2015-01-26,40.022,40.022,39.444,39.496,818095,0
2015-01-27,39.399,40.13,39.284,40.072,943306,0
2015-01-28,40.012,40.403,39.246,39.275,940573,0
2015-01-29,39.302,39.79,38.652,39.434,1118738,0
2015-01-30,38.704,40.171,38.377,39.55,1718318,0
2015-02-02,40.448,40.627,39.993,40.564,1279203,0
2015-02-03,41.088,42.752,40.989,42.037,2139062,0
2015-02-04,41.71,41.71,40.635,41.47,1206020,0
2015-02-05,41.799,42.278,41.632,41.949,810992,0
2015-02-06,42.127,42.146,40.769,41.108,1555655,0
2015-02-09,41.444,41.745,40.653,40.999,742139,0
2015-02-10,40.999,41.08,40.352,41.08,1143258,0
2015-02-11,40.697,41.614,40.483,40.999,886079,0
2015-02-12,41.844,41.897,41.274,41.567,1276839,0
2015-02-13,42.308,42.422,40.687,40.849,1464115,0
2015-02-17,41.141,41.525,40.938,40.965,965663,0
2015-02-18,40.706,40.839,40.101,40.511,1185329,0
2015-02-19,40.146,40.314,39.826,40.012,1290388,0
2015-02-20,40.161,40.26,39.284,39.471,1756296,0
2015-02-23,39.275,39.471,38.839,39.006,1779378,0
2015-02-24,39.086,39.266,38.643,39.113,2037475,0
2015-02-25,39.123,39.399,38.944,38.991,1034504,0
2015-02-26,38.856,38.911,38.137,38.429,3225573,0
2015-02-27,38.616,39.176,38.323,38.974,1180829,0
2015-03-02,38.964,39.54,38.856,39.185,1492528,0
2015-03-03,39.399,39.516,39.006,39.23,734173,0
2015-03-04,39.095,39.585,38.926,39.569,875205,0
2015-03-05,39.434,39.898,39.434,39.523,797716,0
2015-03-06,39.302,39.302,38.474,38.652,885214,0
2015-03-09,38.679,39.221,38.555,38.598,714717,0
2015-03-10,38.188,38.518,37.45,37.577,1229583,0
2015-03-11,37.489,37.586,37.139,37.301,912769,0
2015-03-12,37.503,37.647,37.265,37.48,874194,0
2015-03-13,37.229,37.328,36.909,37.186,1167616,0
2015-03-16,37.078,38.066,37.032,37.834,1008588,0
2015-03-17,37.567,38.784,37.567,38.625,1824414,0
2015-03-18,38.367,39.612,38.127,39.416,1393109,0
2015-03-19,38.926,39.086,38.546,38.589,988122,0
2015-03-20,39.024,39.355,38.742,39.195,708418,0
2015-03-23,39.407,39.657,38.944,39.365,782535,0
2015-03-24,39.434,39.746,39.221,39.701,1223849,0
2015-03-25,39.836,40.13,39.73,39.79,1319782,0
2015-03-26,39.746,40.022,38.944,39.256,1102438,0
2015-03-27,39.319,39.534,38.508,38.699,807600,0
2015-03-30,38.825,39.518,38.69,38.86,926913,0
2015-03-31,38.608,38.725,38.275,38.438,1597442,0
2015-04-01,38.474,38.681,38.122,38.331,966701,0
2015-04-02,38.537,39.05,38.428,38.95,886904,0
2015-04-06,39.14,39.383,38.833,38.851,819886,0
2015-04-07,38.806,39.564,38.806,39.293,1459918,0
2015-04-08,39.634,39.922,39.102,39.221,1032163,0
2015-04-09,39.375,39.867,39.23,39.464,1503042,0
2015-04-10,39.464,39.932,39.401,39.687,1044833,0
2015-04-13,39.859,40.042,39.238,39.436,1250667,0
2015-04-14,39.834,40.418,39.787,39.905,1391149,0
2015-04-15,40.083,41.2,40.012,41.074,1040160,0
2015-04-16,41.191,41.371,40.813,41.245,1027224,0
2015-04-17,41.174,41.641,41.083,41.505,1133413,0
2015-04-20,41.597,42.073,41.398,41.55,793611,0
2015-04-21,41.577,41.747,41.083,41.326,605086,0
2015-04-22,41.541,41.983,41.407,41.938,1399384,0
2015-04-23,41.954,42.639,41.687,42.298,927026,0
2015-04-24,42.352,42.559,42.18,42.406,473141,0
2015-04-27,42.595,43.188,42.332,43.17,1126632,0
2015-04-28,43.063,43.278,42.639,42.667,816773,0
2015-04-29,42.397,42.694,41.874,41.973,853339,0
2015-04-30,41.921,41.992,41.191,41.767,1131747,0
2015-05-01,41.407,41.802,41.047,41.623,898238,0
2015-05-04,41.831,42.118,41.559,42.092,809215,0
2015-05-05,42.154,42.172,40.93,41.255,742197,0
2015-05-06,41.272,41.559,39.985,40.356,1038165,0
