Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.5982,6.5982,6.3644,6.3958,323787,0
2015-01-05,6.3912,6.3912,6.2384,6.2384,258974,0
2015-01-06,6.2384,6.3463,6.157,6.157,414103,0
2015-01-07,6.2023,6.2561,6.1303,6.157,222149,0
2015-01-08,6.2202,6.2743,6.157,6.1934,302659,0
2015-01-09,6.1843,6.2294,6.0761,6.0942,230992,0
2015-01-12,6.0761,6.1032,6.0041,6.0492,300053,0
2015-01-13,6.0942,6.1663,5.9277,6.0312,491263,0
2015-01-14,5.9412,6.0492,5.8961,5.9953,440323,0
2015-01-15,5.9953,6.1032,5.9501,5.9953,377543,0
2015-01-16,5.9863,6.1211,5.9682,6.1032,458365,0
2015-01-20,6.0761,6.1211,5.9591,5.9863,363075,0
2015-01-21,5.9591,6.0312,5.9051,5.9322,264117,0
2015-01-22,5.9591,6.2832,5.9412,6.2832,797497,0
2015-01-23,6.2113,6.2743,6.0582,6.0673,295798,0
2015-01-26,6.0582,6.1032,5.9863,6.0403,238317,0
2015-01-27,5.9863,6.0761,5.9682,5.9863,302118,0
2015-01-28,5.9953,6.0041,5.8781,5.8871,301864,0
2015-01-29,5.8781,6.0294,5.8602,5.9051,459441,0
2015-01-30,5.8513,5.9051,5.779,5.788,473892,0
2015-02-02,5.788,5.9322,5.779,5.9322,461854,0
2015-02-03,5.9772,6.0312,5.9322,6.0041,506421,0
2015-02-04,5.9412,6.0041,5.9322,5.9501,433189,0
2015-02-05,5.9953,6.1211,5.9953,6.0851,1099639,0
2015-02-06,6.1211,6.3191,6.0942,6.2653,1485032,0
2015-02-09,6.2653,6.3373,6.1663,6.1753,426694,0
2015-02-10,6.2384,6.2905,6.0761,6.1211,216598,0
2015-02-11,6.1843,6.1934,6.0312,6.0492,263675,0
2015-02-12,6.0673,6.1843,6.0673,6.1843,228305,0
2015-02-13,6.1663,6.1843,6.1032,6.1392,187138,0
2015-02-17,6.157,6.1663,6.0942,6.1663,278290,0
2015-02-18,6.1392,6.1663,6.0403,6.0673,286496,0
2015-02-19,6.0673,6.0987,6.0312,6.0761,506886,0
2015-02-20,6.0942,6.0942,6.0131,6.0312,730362,0
2015-02-23,5.9953,6.0403,5.9953,6.0222,159251,0
2015-02-24,6.0131,6.0942,6.0131,6.0851,195727,0
2015-02-25,6.0851,6.0942,6.0403,6.0761,99828,0
2015-02-26,6.0492,6.1303,6.0492,6.1211,139815,0
2015-02-27,6.1032,6.1392,6.0761,6.0851,182294,0
2015-03-02,6.1032,6.1753,6.0851,6.1663,338267,0
2015-03-03,6.1303,6.1934,6.1303,6.1663,455463,0
2015-03-04,6.1442,6.1895,6.1259,6.1259,191333,0
2015-03-05,6.1533,6.1804,6.0713,6.1804,250416,0
2015-03-06,6.1259,6.2169,6.0896,6.0896,209709,0
2015-03-09,6.1169,6.1349,6.0896,6.1259,99903,0
2015-03-10,6.0805,6.1077,6.0441,6.0441,182422,0
2015-03-11,6.0531,6.0713,5.9985,6.0623,174390,0
2015-03-12,6.1169,6.2259,6.0259,6.2259,301908,0
2015-03-13,6.2259,6.2259,6.0805,6.1895,214437,0
2015-03-16,6.1895,6.2259,6.1442,6.1624,131370,0
2015-03-17,6.1259,6.2259,6.0713,6.2259,289584,0
2015-03-18,6.1985,6.2349,6.1259,6.1895,232702,0
2015-03-19,6.1533,6.1895,6.1077,6.1624,128180,0
2015-03-20,6.1714,6.3167,6.1714,6.3076,562007,0
2015-03-23,6.2896,6.3167,6.2349,6.2713,197934,0
2015-03-24,6.2349,6.2896,6.1804,6.2622,391797,0
2015-03-25,6.2439,6.2896,6.0623,6.0896,553757,0
2015-03-26,6.0896,6.1714,6.0531,6.1533,219609,0
2015-03-27,6.1169,6.1804,6.0805,6.1714,207947,0
2015-03-30,6.1714,6.2896,6.1077,6.2349,254489,0
2015-03-31,6.1804,6.2622,6.1804,6.2531,150748,0
2015-04-01,6.2259,6.2713,6.1624,6.2439,198814,0
2015-04-02,6.2804,6.2896,6.1714,6.2896,249425,0
2015-04-06,6.2169,6.2804,6.1985,6.2531,127409,0
2015-04-07,6.2259,6.3167,6.2259,6.2804,283386,0
2015-04-08,6.2896,6.3167,6.2531,6.2804,266589,0
2015-04-09,6.2531,6.2986,6.1714,6.2439,135702,0
2015-04-10,6.2259,6.2804,6.2259,6.2531,67114,0
2015-04-13,6.2169,6.2713,6.2169,6.2531,99463,0
2015-04-14,6.2804,6.2804,6.2169,6.2349,154255,0
2015-04-15,6.2259,6.3167,6.1804,6.2531,225793,0
2015-04-16,6.2259,6.2986,6.2077,6.2713,127483,0
2015-04-17,6.2077,6.2622,6.1533,6.1624,275721,0
2015-04-20,6.1895,6.2804,6.1533,6.2713,196358,0
2015-04-21,6.2713,6.2896,6.1895,6.1985,92727,0
2015-04-22,6.2349,6.2349,6.1349,6.1442,267393,0
2015-04-23,6.1349,6.1624,6.0986,6.1169,152165,0
2015-04-24,6.0986,6.1259,6.0805,6.0896,215443,0
2015-04-27,6.0896,6.1077,5.9985,6.0531,374524,0
2015-04-28,6.0259,6.2713,6.0259,6.2713,363050,0
2015-04-29,6.2349,6.2896,6.1624,6.1804,162836,0
2015-04-30,6.1714,6.1985,6.0441,6.0623,368692,0
2015-05-01,6.0623,6.1077,6.0078,6.0531,408961,0
2015-05-04,6.0623,6.1349,6.0623,6.1259,235343,0
2015-05-05,6.0896,6.1804,6.0441,6.0623,205856,0
2015-05-06,6.0713,6.1259,6.0349,6.0805,240494,0
2015-05-07,6.0441,6.1077,6.0349,6.0805,126415,0
2015-05-08,6.1442,6.1442,6.0531,6.0896,198593,0
2015-05-11,6.0986,6.1804,6.0623,6.1624,219389,0
2015-05-12,6.1714,6.2077,6.0713,6.2077,282412,0
2015-05-13,6.1624,6.1895,6.0986,6.1714,242935,0
2015-05-14,6.1804,6.2349,6.1442,6.2349,228522,0
2015-05-15,6.2349,6.2349,6.1259,6.1624,435213,0
2015-05-18,6.1349,6.2439,6.1349,6.2169,243969,0
2015-05-19,6.1985,6.2349,6.1985,6.2169,89567,0
2015-05-20,6.2349,6.2713,6.1895,6.2077,160527,0
2015-05-21,6.2077,6.2439,6.1714,6.1895,109806,0
2015-05-22,6.1624,6.2259,6.1169,6.1259,180330,0
2015-05-26,6.1442,6.1533,6.0896,6.1077,272110,0
2015-05-27,6.1442,6.1804,6.0896,6.1804,210588,0
2015-05-28,6.1442,6.1985,6.1442,6.1804,136721,0
2015-05-29,6.1442,6.1895,6.0896,6.1442,198814,0
2015-06-01,6.1533,6.1624,6.0758,6.1259,188793,0
2015-06-02,6.1169,6.1985,6.1169,6.1804,165103,0
2015-06-03,6.1672,6.3141,6.1672,6.3141,270338,0
2015-06-04,6.268,6.3141,6.2131,6.2223,116044,0
2015-06-05,6.2407,6.2957,6.1857,6.2957,234597,0
2015-06-08,6.1948,6.2865,6.1948,6.2407,260967,0
2015-06-09,6.259,6.2865,6.1948,6.259,112040,0
2015-06-10,6.2774,6.4242,6.2774,6.3967,426404,0
2015-06-11,6.4059,6.4151,6.3323,6.3875,121868,0
2015-06-12,6.3508,6.3782,6.3049,6.3508,109182,0
2015-06-15,6.3049,6.369,6.2407,6.3049,178591,0
2015-06-16,6.2774,6.3875,6.2774,6.3599,128578,0
2015-06-17,6.3599,6.3782,6.2865,6.2957,113212,0
2015-06-18,6.2957,6.4059,6.2774,6.3875,229367,0
2015-06-19,6.3599,6.461,6.3599,6.4425,519209,0
2015-06-22,6.461,6.516,6.4242,6.4702,198967,0
2015-06-23,6.461,6.5802,6.461,6.5343,207492,0
2015-06-24,6.4885,6.5712,6.4517,6.516,141543,0
2015-06-25,6.5712,6.5712,6.4517,6.5435,171725,0
2015-06-26,6.5802,6.5985,6.516,6.5894,768842,0
2015-06-29,6.4517,6.5712,6.4333,6.4517,336586,0
2015-06-30,6.4978,6.5435,6.4195,6.4517,203034,0
2015-07-01,6.562,6.5802,6.4885,6.5802,208337,0
2015-07-02,6.5528,6.6078,6.3875,6.4242,190249,0
2015-07-06,6.3323,6.4425,6.3323,6.4333,218908,0
2015-07-07,6.4242,6.4242,6.3049,6.3508,210952,0
