Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,20.671,20.736,20.311,20.569,6586047,0
2015-01-05,20.44,20.468,20.043,20.07,9782868,0
2015-01-06,19.693,19.923,19.535,19.72,10798799,0
2015-01-07,19.932,20.089,19.701,20.006,11027027,0
2015-01-08,20.024,20.32,20.006,20.135,17142531,0
2015-01-09,19.959,19.978,19.405,19.572,19059651,0
2015-01-12,19.442,19.47,19.101,19.194,26749427,0
2015-01-13,19.405,19.664,19.378,19.434,11961724,0
2015-01-14,19.064,19.479,19.018,19.442,23570177,0
2015-01-15,20.855,21.354,20.227,21.133,39373854,0
2015-01-16,20.652,20.957,20.578,20.865,24265509,0
2015-01-20,20.781,21.409,20.744,21.317,25920628,0
2015-01-21,21.233,21.501,21.197,21.428,19461303,0
2015-01-22,21.418,21.899,21.133,21.889,27441232,0
2015-01-23,22.092,22.434,22.047,22.147,14110882,0
2015-01-26,22.111,22.332,22.055,22.305,15263547,0
2015-01-27,22.278,22.397,22.111,22.332,15958261,0
2015-01-28,22.563,22.609,22.018,22.092,17565663,0
2015-01-29,21.87,21.973,21.307,21.501,21025911,0
2015-01-30,21.225,21.344,20.93,20.967,19053428,0
2015-02-02,21.262,21.307,20.957,21.178,13923743,0
2015-02-03,21.548,21.64,21.289,21.372,18063335,0
2015-02-04,21.779,21.926,21.64,21.769,12203762,0
2015-02-05,21.899,21.936,21.521,21.843,13016127,0
2015-02-06,21.649,21.816,21.28,21.327,17904709,0
2015-02-09,21.16,21.178,20.763,20.93,13887378,0
2015-02-10,22.064,22.111,21.658,22.027,18497802,0
2015-02-11,22.047,22.48,21.945,22.425,15393126,0
2015-02-12,22.536,22.601,22.295,22.591,10979294,0
2015-02-13,22.572,23.043,22.526,22.932,12605434,0
2015-02-17,22.795,22.979,22.785,22.868,11401048,0
2015-02-18,22.795,22.942,22.72,22.812,8051350,0
2015-02-19,22.785,22.812,22.581,22.638,10755291,0
2015-02-20,22.803,22.812,22.434,22.563,7872532,0
2015-02-23,22.536,22.554,22.278,22.36,8478525,0
2015-02-24,22.507,23.154,22.48,23.117,17258000,0
2015-02-25,23.117,23.375,23.07,23.117,11252559,0
2015-02-26,22.896,23.07,22.757,22.785,8219677,0
2015-02-27,22.849,22.877,22.591,22.646,9251441,0
2015-03-02,22.526,22.738,22.526,22.738,7670107,0
2015-03-03,22.812,22.832,22.526,22.618,8107928,0
2015-03-04,22.683,22.711,22.268,22.462,10198139,0
2015-03-05,22.601,22.601,22.286,22.581,7454878,0
2015-03-06,22.388,22.507,22.194,22.241,6905164,0
2015-03-09,21.853,21.88,21.474,21.649,16896200,0
2015-03-10,21.252,21.474,21.151,21.28,13437498,0
