Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,28.2,28.44,27.55,28.095,826936,0
2015-01-05,28.67,28.88,27.46,27.62,1038358,0
2015-01-06,28.15,28.44,27.52,27.93,1595591,0
2015-01-07,28.14,28.46,27.71,28.1,1380518,0
2015-01-08,28.31,28.78,28.15,28.46,2628576,0
2015-01-09,28.5,28.62,27.78,27.87,1186524,0
2015-01-12,28.03,28.1,27.23,27.87,1409999,0
2015-01-13,27.99,28.54,27.305,27.69,1339904,0
2015-01-14,27.43,27.94,27.265,27.84,837779,0
2015-01-15,27.82,27.95,27.33,27.7,1171846,0
2015-01-16,27.78,29.28,27.54,29.21,1524607,0
2015-01-20,29.5,29.55,28.6,29.04,929953,0
2015-01-21,29.1,29.6,28.8,29.21,1786884,0
2015-01-22,29.34,29.92,28.98,29.71,1378284,0
2015-01-23,29.58,29.93,29.33,29.85,768633,0
2015-01-26,29.91,30.71,29.81,30.5,1141890,0
2015-01-27,30.03,30.05,29.11,29.67,1809702,0
2015-01-28,30.24,30.8,29.87,29.89,2068031,0
2015-01-29,29.98,30.145,29.41,30.09,1605422,0
2015-01-30,29.91,30.15,29.31,29.72,1152443,0
2015-02-02,29.77,30.07,29.08,29.99,1717410,0
2015-02-03,30.22,30.64,29.39,29.84,3363748,0
2015-02-04,29.76,30.53,28.69,28.97,6054334,0
2015-02-05,29.3,29.53,28.41,28.77,2971934,0
2015-02-06,28.84,29.27,28.56,28.785,1794539,0
2015-02-09,28.76,29.07,28.03,28.32,2813936,0
2015-02-10,28.55,28.66,27.55,27.79,3043628,0
2015-02-11,27.69,28.1,27.24,27.32,3113141,0
2015-02-12,27.33,27.62,27.19,27.44,2649727,0
2015-02-13,27.5,28.42,27.44,28.4,2131460,0
2015-02-17,28.21,28.48,28.09,28.13,2826759,0
2015-02-18,28.1,28.31,27.55,28.16,2239920,0
2015-02-19,28.02,28.18,26.89,26.96,3002791,0
2015-02-20,26.86,27.06,26.53,27.005,2919719,0
2015-02-23,27.0,27.06,26.72,27.0,1219117,0
2015-02-24,27.02,27.31,26.84,26.99,1605681,0
2015-02-25,27.04,27.24,26.595,26.7,1800228,0
2015-02-26,26.66,27.17,26.46,26.54,1856257,0
2015-02-27,26.46,26.8,26.41,26.49,1548537,0
2015-03-02,26.43,26.44,25.72,26.06,3073600,0
2015-03-03,25.89,26.1,25.12,25.21,3620600,0
2015-03-04,25.21,25.49,25.0,25.05,1998800,0
2015-03-05,25.2,25.3,24.85,25.21,1931600,0
2015-03-06,25.02,25.19,24.74,24.81,1562300,0
2015-03-09,24.87,24.96,24.57,24.82,1926500,0
2015-03-10,24.65,24.84,24.25,24.33,2635300,0
2015-03-11,24.24,24.94,24.19,24.42,3220500,0
2015-03-12,24.64,24.75,24.23,24.47,2266900,0
2015-03-13,24.61,25.51,24.48,25.43,3341900,0
2015-03-16,25.53,26.0,25.49,25.83,2948400,0
2015-03-17,25.73,25.83,25.27,25.44,2205500,0
2015-03-18,25.43,25.85,25.19,25.67,1408000,0
2015-03-19,25.52,25.91,25.51,25.72,986300,0
2015-03-20,25.77,25.91,25.58,25.68,1431800,0
2015-03-23,25.64,26.21,25.64,25.68,1184300,0
2015-03-24,25.7,25.93,25.47,25.58,1365400,0
2015-03-25,25.86,26.06,24.97,25.02,1239300,0
2015-03-26,24.82,25.05,24.61,24.74,1239600,0
2015-03-27,24.73,25.27,24.73,25.26,665700,0
2015-03-30,25.28,25.6,25.08,25.21,1172800,0
2015-03-31,25.11,25.52,24.79,25.455,2061494,0
2015-04-01,25.41,25.41,24.73,24.82,1391800,0
2015-04-02,24.82,25.1,24.66,25.0,1444400,0
2015-04-06,24.85,25.33,24.61,24.88,1227400,0
2015-04-07,24.95,25.42,24.88,25.14,1336718,0
2015-04-08,25.16,25.51,25.13,25.42,1329900,0
2015-04-09,25.35,25.54,24.72,24.82,2218775,0
2015-04-10,24.88,25.28,24.88,25.27,1214800,0
2015-04-13,25.27,25.37,24.73,24.74,1425800,0
2015-04-14,24.74,25.18,24.74,24.93,896900,0
2015-04-15,25.01,25.17,24.845,25.03,1350094,0
2015-04-16,25.04,25.24,24.9,25.03,1109422,0
2015-04-17,24.78,24.85,24.65,24.72,1012300,0
2015-04-20,24.78,24.97,24.66,24.75,1331063,0
2015-04-21,24.86,25.05,24.65,24.85,1484720,0
2015-04-22,24.86,25.07,24.66,25.02,1117291,0
2015-04-23,25.0,25.15,24.87,25.1,671400,0
2015-04-24,25.14,25.28,24.93,25.08,873277,0
2015-04-27,25.24,25.37,24.97,25.02,892800,0
2015-04-28,24.95,25.08,24.52,24.64,1138540,0
2015-04-29,24.52,24.76,24.23,24.39,2528900,0
2015-04-30,24.31,24.33,23.3,23.7,4003700,0
2015-05-01,23.68,24.4,23.57,24.36,1779100,0
2015-05-04,24.31,24.55,24.25,24.45,1360100,0
2015-05-05,24.41,24.51,24.01,24.07,1958200,0
2015-05-06,24.28,24.45,24.01,24.12,2040083,0
2015-05-07,24.13,24.395,24.03,24.33,859364,0
2015-05-08,24.56,25.17,24.35,25.06,1950200,0
2015-05-11,24.98,25.2,24.77,25.1,1965400,0
2015-05-12,24.88,25.078,24.58,24.91,2000573,0
2015-05-13,24.55,24.93,24.45,24.75,1533400,0
2015-05-14,24.9,25.02,24.56,24.77,1623200,0
2015-05-15,24.83,24.84,24.58,24.69,2550766,0
2015-05-18,24.55,24.84,24.14,24.2,4622905,0
2015-05-19,26.79,28.72,26.7,28.62,16708961,0
2015-05-20,28.34,28.34,27.31,27.65,5331800,0
2015-05-21,27.76,27.97,27.49,27.63,1863300,0
2015-05-22,27.53,27.59,27.2,27.26,2599200,0
2015-05-26,27.1,27.56,27.0,27.55,2425394,0
2015-05-27,27.6,28.08,27.42,27.99,1995800,0
2015-05-28,27.9,27.96,27.595,27.66,1783827,0
2015-05-29,27.6,27.8,27.35,27.37,1986100,0
2015-06-01,27.38,27.475,26.85,27.28,2364715,0
2015-06-02,26.97,27.89,26.97,27.55,2895568,0
2015-06-03,27.94,28.49,27.81,28.26,3781500,0
2015-06-04,28.08,28.28,27.84,28.0,1349400,0
2015-06-05,27.94,28.22,27.83,28.19,1053000,0
2015-06-08,27.94,28.09,27.7,27.95,1397500,0
2015-06-09,27.95,28.13,27.71,28.08,1991353,0
2015-06-10,28.11,28.36,27.96,28.2,2010493,0
2015-06-11,28.11,28.63,28.08,28.49,1625755,0
2015-06-12,28.35,28.5,28.18,28.27,1072800,0
2015-06-15,28.1,28.2,27.83,27.91,1120900,0
2015-06-16,27.83,27.93,27.61,27.7,1617200,0
2015-06-17,27.69,27.93,27.42,27.56,1724700,0
2015-06-18,27.56,28.16,27.55,28.14,1502300,0
2015-06-19,28.16,28.23,27.71,28.0,1455400,0
2015-06-22,28.12,28.17,27.74,27.94,1006600,0
2015-06-23,27.98,28.12,27.77,28.01,653162,0
2015-06-24,28.65,28.98,28.33,28.6,1595700,0
2015-06-25,28.61,28.77,28.25,28.39,973600,0
2015-06-26,28.5,28.66,28.3,28.62,2674500,0
2015-06-29,28.43,28.58,27.92,27.94,1442500,0
2015-06-30,28.09,28.21,27.51,27.57,1466493,0
2015-07-01,27.72,27.92,27.35,27.45,1699700,0
2015-07-02,27.37,27.63,27.27,27.4,1096700,0
2015-07-06,27.11,27.58,27.11,27.46,865200,0
2015-07-07,27.51,27.72,27.06,27.61,1186300,0
2015-07-08,27.41,27.59,27.01,27.25,892600,0
2015-07-09,27.55,27.9,27.51,27.74,1039600,0
2015-07-10,28.0,28.33,27.79,28.26,1266800,0
2015-07-13,28.49,28.85,28.44,28.85,1028700,0
2015-07-14,28.95,29.35,28.71,29.33,1849786,0
2015-07-15,29.26,29.51,29.18,29.36,1914710,0
2015-07-16,29.5,29.99,29.29,29.95,2452500,0
2015-07-17,30.1,31.32,29.93,31.14,4675900,0
2015-07-20,31.17,31.54,31.0,31.35,2048300,0
2015-07-21,31.04,31.57,31.02,31.26,2406500,0
2015-07-22,31.14,31.55,31.02,31.49,1758200,0
2015-07-23,31.5,31.72,31.14,31.16,1627900,0
2015-07-24,31.2,31.69,31.12,31.41,2411000,0
2015-07-27,31.2,31.39,30.53,30.73,1569900,0
2015-07-28,31.05,31.55,30.82,31.52,2073700,0
2015-07-29,31.31,31.64,31.21,31.43,2024000,0
2015-07-30,31.29,32.17,31.05,31.81,1222500,0
2015-07-31,31.9,32.0,31.51,31.58,898200,0
2015-08-03,31.45,31.58,31.07,31.39,1043351,0
2015-08-04,31.41,31.79,31.34,31.43,1019100,0
2015-08-05,31.64,32.71,31.64,31.85,2217900,0
2015-08-06,32.0,32.261,31.41,31.54,2015157,0
2015-08-07,31.39,31.49,31.09,31.46,1964300,0
2015-08-10,31.55,31.92,30.86,30.94,3733800,0
2015-08-11,29.2,31.39,29.1,30.59,4684229,0
2015-08-12,30.17,30.35,29.49,30.26,1743600,0
2015-08-13,30.41,30.51,29.99,30.14,1436700,0
2015-08-14,30.08,31.01,30.0,30.72,1404900,0
2015-08-17,30.59,31.69,30.23,31.59,1993500,0
2015-08-18,31.55,31.61,31.04,31.11,1605200,0
2015-08-19,31.06,31.11,30.32,30.35,1118300,0
2015-08-20,30.21,30.26,29.34,29.38,1460700,0
2015-08-21,28.95,29.57,28.48,28.88,2276500,0
2015-08-24,25.6,28.13,25.01,27.83,3424341,0
2015-08-25,28.66,28.71,27.62,27.63,1742900,0
2015-08-26,28.09,28.41,27.33,28.3,1870000,0
2015-08-27,28.63,28.95,28.09,28.92,1513400,0
2015-08-28,28.78,29.84,28.73,29.78,1786500,0
2015-08-31,29.5,29.64,28.88,29.13,2025200,0
2015-09-01,28.5,29.09,28.16,28.35,1709500,0
2015-09-02,28.65,29.01,28.07,28.71,1706900,0
2015-09-03,28.86,29.0,28.28,28.7,1145600,0
2015-09-04,28.35,28.73,28.19,28.45,1002100,0
2015-09-08,28.9,29.64,28.59,29.58,1307300,0
2015-09-09,29.75,29.94,29.05,29.12,802700,0
2015-09-10,29.07,29.37,28.88,29.15,705020,0
2015-09-11,28.48,29.18,28.25,29.18,644200,0
2015-09-14,29.33,29.34,28.69,29.04,799400,0
2015-09-15,29.16,29.62,29.04,29.49,608000,0
2015-09-16,29.49,29.67,29.14,29.48,819400,0
2015-09-17,29.39,29.79,29.25,29.54,1306305,0
2015-09-18,29.18,29.99,29.12,29.53,2072600,0
2015-09-21,29.71,30.12,29.65,29.93,966800,0
2015-09-22,29.56,30.16,29.27,29.68,849600,0
2015-09-23,29.78,30.04,29.53,29.86,499532,0
2015-09-24,29.52,30.15,29.45,29.81,826525,0
2015-09-25,30.05,30.57,29.74,30.06,1026800,0
2015-09-28,29.91,30.09,28.13,28.47,1387492,0
2015-09-29,28.39,28.5,27.69,27.97,1102300,0
2015-09-30,28.1,28.77,27.85,28.73,1451000,0
2015-10-01,28.54,28.89,27.89,28.54,1328100,0
2015-10-02,28.28,29.39,27.94,29.39,1186000,0
2015-10-05,29.66,30.57,29.39,30.5,1220654,0
2015-10-06,30.42,30.52,29.54,29.66,764100,0
2015-10-07,29.88,29.9,29.08,29.78,1417600,0
2015-10-08,29.82,29.93,29.13,29.74,867800,0
2015-10-09,29.83,30.2,29.59,29.93,527200,0
2015-10-12,29.92,30.81,29.71,30.63,1029884,0
2015-10-13,30.37,30.93,30.28,30.72,592500,0
2015-10-14,30.79,31.22,30.67,30.78,1020000,0
2015-10-15,30.88,31.91,30.77,31.89,1317000,0
2015-10-16,31.6,31.98,31.22,31.59,1248000,0
2015-10-19,31.39,31.74,31.01,31.38,500361,0
2015-10-20,31.19,31.97,31.101,31.75,709632,0
2015-10-21,31.92,32.1,31.61,31.76,648800,0
2015-10-22,32.23,32.91,31.9,32.76,1306000,0
2015-10-23,33.06,33.57,32.8,33.46,893800,0
2015-10-26,33.39,33.63,33.18,33.33,717900,0
2015-10-27,33.29,33.65,33.03,33.14,1163000,0
2015-10-28,33.33,33.9,32.98,33.49,1602000,0
2015-10-29,33.32,33.87,33.1,33.16,1347200,0
2015-10-30,33.08,34.39,32.82,33.2,1666500,0
2015-11-02,33.19,34.07,32.99,33.65,1581843,0
2015-11-03,33.69,34.2,33.1,33.92,2698000,0
2015-11-04,34.11,34.2,33.65,34.03,1405702,0
2015-11-05,34.03,34.29,32.97,33.05,2810500,0
2015-11-06,35.0,37.0,34.15,34.2,4320600,0
2015-11-09,33.9,35.11,32.66,32.97,2601501,0
2015-11-10,32.99,33.19,32.56,32.92,1516900,0
2015-11-11,32.99,33.29,32.6,32.92,1288500,0
2015-11-12,32.68,33.45,32.45,33.03,1314500,0
2015-11-13,32.71,33.47,32.51,33.12,1671300,0
2015-11-16,33.13,33.49,32.26,33.44,1798400,0
2015-11-17,33.57,34.63,33.3,34.35,1942600,0
2015-11-18,34.37,34.7,33.51,34.64,1375500,0
2015-11-19,34.89,35.0,34.48,34.63,1127900,0
2015-11-20,34.7,35.75,34.16,35.6,1998000,0
2015-11-23,35.4,35.8,34.75,34.91,1381800,0
2015-11-24,34.67,34.8,34.39,34.71,725000,0
2015-11-25,34.86,35.69,34.8,35.62,1156900,0
2015-11-27,35.57,35.77,35.35,35.69,516200,0
