Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,24.66,24.74,23.518,23.85,11744,0
2015-01-05,23.685,24.17,22.757,23.42,47972,0
2015-01-06,23.74,23.74,22.32,22.43,24242,0
2015-01-07,22.52,23.27,22.35,22.83,45713,0
2015-01-08,23.28,23.46,23.08,23.15,7649,0
2015-01-09,23.15,23.29,22.99,22.99,4125,0
2015-01-12,23.05,23.07,22.751,23.07,6854,0
2015-01-13,23.39,24.46,23.1,24.12,11067,0
2015-01-14,23.944,24.83,23.944,24.61,15696,0
2015-01-15,24.57,24.61,23.16,23.34,14744,0
2015-01-16,23.46,23.6,23.22,23.59,9688,0
2015-01-20,23.75,23.75,22.78,22.89,18255,0
2015-01-21,23.23,23.23,22.58,22.59,4380,0
2015-01-22,22.14,23.12,22.14,23.12,7608,0
2015-01-23,22.59,23.12,22.59,22.94,4613,0
2015-01-26,23.94,23.94,23.05,23.12,3072,0
2015-01-27,23.3,23.3,22.65,22.7,6953,0
2015-01-28,22.83,22.83,22.269,22.27,8866,0
2015-01-29,22.45,22.88,22.17,22.88,4543,0
2015-01-30,22.67,23.49,22.28,22.28,10589,0
2015-02-02,22.5,22.5,22.21,22.5,8538,0
2015-02-03,22.47,22.81,22.21,22.8,6295,0
2015-02-04,22.8,23.09,22.6,22.67,6318,0
2015-02-05,22.67,23.01,22.67,22.86,3672,0
2015-02-06,22.96,23.29,22.88,22.9,12892,0
2015-02-09,23.194,23.194,22.631,22.65,9650,0
2015-02-10,22.69,23.18,22.64,22.9,5699,0
2015-02-11,22.95,23.34,22.67,23.04,40349,0
2015-02-12,23.23,23.44,22.85,23.41,3799,0
2015-02-13,23.06,23.55,23.06,23.42,8519,0
2015-02-17,23.23,23.93,23.23,23.49,7981,0
2015-02-18,23.52,23.68,23.5,23.64,3661,0
2015-02-19,23.99,24.135,23.24,24.04,14055,0
2015-02-20,24.1,24.1,23.26,23.36,56909,0
2015-02-23,23.4,23.81,23.21,23.41,9166,0
2015-02-24,23.44,23.75,23.25,23.46,10879,0
