Date,Open,High,Low,Close,Volume,OpenInt
2015-01-06,22.18,22.538,21.544,22.467,1831,0
2015-01-08,21.862,21.941,21.862,21.863,1188,0
2015-01-09,22.486,22.539,22.233,22.539,6079,0
2015-01-12,22.539,22.629,22.18,22.315,856,0
2015-01-13,22.09,24.053,22.09,24.053,11307,0
2015-01-14,22.991,23.829,22.531,22.974,5286,0
2015-01-15,23.217,23.982,22.332,22.586,6208,0
2015-01-16,22.18,23.442,21.91,21.91,9752,0
2015-01-20,22.144,23.938,21.811,22.271,4214,0
2015-01-21,21.837,22.538,21.837,22.538,443,0
2015-01-22,23.857,23.857,21.937,22.315,9112,0
2015-01-23,22.161,22.161,21.413,21.413,4547,0
2015-01-26,21.91,22.144,21.773,21.91,7201,0
2015-01-27,22.07,22.747,21.782,22.747,10872,0
2015-01-29,22.594,22.775,22.493,22.775,719,0
2015-02-02,22.604,22.604,21.952,21.952,477,0
2015-02-03,22.364,22.364,22.364,22.364,228,0
2015-02-04,22.885,22.894,21.671,21.671,15265,0
2015-02-05,21.646,23.011,21.646,22.885,18203,0
2015-02-06,22.512,22.911,22.456,22.821,2141,0
2015-02-09,22.83,22.857,21.963,21.963,3173,0
2015-02-10,22.794,22.829,21.963,21.963,676,0
2015-02-11,22.694,22.784,22.694,22.694,1596,0
2015-02-12,22.555,22.555,22.019,22.275,2890,0
2015-02-13,22.328,22.555,22.284,22.555,687,0
2015-02-18,22.299,22.546,22.299,22.546,1054,0
2015-02-19,22.775,22.784,22.604,22.604,1077,0
2015-02-20,22.42,22.603,22.383,22.383,1767,0
2015-02-23,22.565,22.565,22.565,22.565,620,0
2015-02-24,22.584,22.584,22.584,22.584,394,0
2015-02-25,22.604,22.604,22.604,22.604,121,0
2015-02-26,22.897,22.897,22.897,22.897,232,0
2015-02-27,22.739,22.784,22.739,22.784,309,0
2015-03-03,22.803,23.011,22.803,23.011,220,0
2015-03-04,22.803,22.803,22.803,22.803,220,0
2015-03-05,22.875,23.011,22.784,23.011,2961,0
2015-03-06,23.011,23.24,22.977,23.221,3183,0
2015-03-09,23.24,23.24,23.193,23.24,987,0
2015-03-10,23.24,23.24,22.83,22.83,1754,0
2015-03-11,22.374,23.23,22.374,23.058,2415,0
2015-03-12,22.803,22.803,22.803,22.803,220,0
2015-03-13,23.24,23.24,22.775,23.002,1537,0
2015-03-16,22.237,22.821,22.237,22.821,439,0
2015-03-17,22.694,23.058,22.694,22.858,548,0
2015-03-18,23.24,23.24,23.24,23.24,111,0
2015-03-19,22.968,22.968,22.968,22.968,1098,0
2015-03-20,23.002,23.002,22.784,22.784,1427,0
2015-03-23,22.784,22.875,22.784,22.875,2744,0
2015-03-26,22.794,23.24,22.794,23.24,1098,0
2015-03-27,23.149,23.149,22.92,22.92,1315,0
2015-03-30,22.968,23.129,22.968,23.111,1427,0
2015-03-31,23.139,23.149,23.058,23.058,3514,0
2015-04-01,23.094,23.168,23.094,23.168,548,0
2015-04-02,22.93,23.24,22.93,23.24,4939,0
2015-04-06,23.24,23.24,23.149,23.149,767,0
2015-04-07,23.24,23.24,23.24,23.24,279,0
2015-04-08,23.24,23.24,23.23,23.23,2524,0
2015-04-09,23.199,23.199,23.199,23.199,492,0
2015-04-10,23.24,23.24,23.129,23.24,1754,0
2015-04-13,23.24,23.24,22.93,22.93,329,0
2015-04-14,23.159,23.24,23.159,23.24,548,0
2015-04-15,22.794,23.24,22.794,23.235,3439,0
2015-04-16,23.24,23.24,23.24,23.24,204,0
2015-04-17,23.24,23.24,23.058,23.068,3840,0
2015-04-20,23.24,23.24,23.24,23.24,665,0
