Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,103.11,103.85,100.46,103.59,1321848,0
2015-01-05,102.68,102.82,90.98,92.25,5608788,0
2015-01-06,92.65,92.84,86.28,89.39,6799324,0
2015-01-07,90.47,90.9,87.76,88.58,3973418,0
2015-01-08,90.07,91.13,89.5,90.47,3246901,0
2015-01-09,90.57,91.5,88.16,89.29,2476014,0
2015-01-12,89.29,89.29,84.78,85.78,3570647,0
2015-01-13,87.23,88.4,84.08,85.81,2902833,0
2015-01-14,82.95,84.48,81.91,84.0,3916324,0
2015-01-15,84.29,85.45,83.08,83.11,3331178,0
2015-01-16,82.3,84.23,81.25,82.31,4509275,0
2015-01-20,83.29,84.84,81.29,84.47,3400050,0
2015-01-21,84.25,88.1,83.99,87.56,4273398,0
2015-01-22,91.63,92.09,82.11,86.03,7582677,0
2015-01-23,87.62,89.5,86.85,88.43,6579671,0
2015-01-26,88.85,91.54,88.73,90.46,4462869,0
2015-01-27,87.93,89.78,87.0,88.72,3230592,0
2015-01-28,89.0,89.44,86.01,86.26,3976085,0
2015-01-29,86.5,86.82,84.66,86.32,3160578,0
2015-01-30,85.37,85.98,82.7,82.85,4288432,0
2015-02-02,83.01,85.61,82.51,85.15,3083035,0
2015-02-03,85.88,90.32,85.67,90.09,3568200,0
2015-02-04,89.0,89.98,88.18,89.0,2760841,0
2015-02-05,89.56,90.68,88.52,89.0,1992210,0
2015-02-06,90.14,91.0,88.75,89.72,1631244,0
2015-02-09,89.14,91.45,89.14,90.97,2019331,0
2015-02-10,92.0,92.08,90.12,91.07,1463703,0
2015-02-11,90.78,90.89,89.18,90.06,1605662,0
2015-02-12,90.55,92.0,90.4,91.57,1283170,0
2015-02-13,91.99,93.91,91.8,92.98,1280120,0
2015-02-17,92.94,94.76,92.45,94.29,1528235,0
2015-02-18,94.79,95.63,94.1,95.39,1586685,0
2015-02-19,93.81,95.46,93.03,94.81,1387382,0
2015-02-20,94.69,96.03,93.53,95.98,1197984,0
2015-02-23,95.43,95.9,94.01,94.54,1266805,0
2015-02-24,94.59,95.04,93.48,93.86,947136,0
2015-02-25,94.06,94.41,92.99,94.06,1054380,0
2015-02-26,94.36,94.84,93.4,94.26,1282384,0
2015-02-27,94.36,94.84,93.0,93.06,1418819,0
2015-03-02,95.01,95.27,93.49,94.66,1918900,0
2015-03-03,94.9,95.5,93.99,94.31,1196600,0
2015-03-04,93.88,94.0,91.2,92.34,1503900,0
2015-03-05,92.54,92.55,90.76,92.06,1340400,0
2015-03-06,90.75,92.46,90.25,90.5,1727000,0
2015-03-09,91.0,91.21,90.13,90.82,955500,0
2015-03-10,89.46,89.47,86.38,87.05,3164400,0
2015-03-11,87.12,88.21,86.5,87.61,1711000,0
2015-03-12,87.87,89.07,87.78,88.2,1374900,0
2015-03-13,87.4,87.97,86.1,87.8,1808800,0
2015-03-16,88.47,88.72,87.0,87.79,1567600,0
2015-03-17,87.76,88.77,87.2,87.33,1643400,0
2015-03-18,86.82,89.8,86.0,88.92,3346800,0
2015-03-19,88.85,88.85,87.66,88.48,1340400,0
2015-03-20,89.07,89.3,88.13,88.85,1894200,0
2015-03-23,88.67,88.92,88.07,88.69,1655900,0
2015-03-24,88.48,89.69,88.3,88.91,1399800,0
2015-03-25,89.8,90.6,89.17,89.17,2225900,0
2015-03-26,88.49,92.11,88.25,91.09,2922500,0
2015-03-27,90.6,90.92,89.04,90.05,2245200,0
2015-03-30,90.64,92.32,90.51,91.86,1230800,0
2015-03-31,91.13,92.15,90.27,91.16,1691927,0
2015-04-01,90.41,92.73,90.4,91.48,1578400,0
2015-04-02,91.38,92.35,90.62,90.65,1573600,0
2015-04-06,90.16,94.07,90.0,93.63,1582900,0
2015-04-07,93.67,94.19,92.75,92.94,985092,0
2015-04-08,92.97,94.14,91.74,93.17,1444700,0
2015-04-09,93.01,94.72,92.7,94.66,1423744,0
2015-04-10,94.77,96.05,94.55,95.96,1400800,0
2015-04-13,95.96,96.75,95.6,95.83,1432500,0
2015-04-14,95.54,97.67,95.5,97.57,1674500,0
2015-04-15,97.58,100.02,96.74,99.3,1840094,0
2015-04-16,98.74,98.98,97.41,97.49,1598488,0
2015-04-17,96.67,97.11,95.26,96.46,2200600,0
2015-04-20,98.0,99.15,97.0,98.86,2368764,0
2015-04-21,99.25,99.43,96.87,97.9,2765014,0
2015-04-22,94.05,97.52,93.72,95.79,6819290,0
2015-04-23,96.05,99.0,96.0,98.53,2698300,0
2015-04-24,99.27,99.43,96.34,96.64,2093522,0
2015-04-27,96.98,97.88,96.03,96.52,1778600,0
2015-04-28,96.57,96.96,95.2,96.24,1533200,0
2015-04-29,96.03,98.49,95.92,97.76,1956800,0
2015-04-30,97.21,98.64,96.15,96.58,1424100,0
2015-05-01,96.88,99.54,96.88,99.27,1353400,0
2015-05-04,99.45,99.99,98.5,99.02,897700,0
2015-05-05,99.22,102.94,99.1,100.53,2861100,0
2015-05-06,100.99,101.59,99.34,99.85,1873370,0
2015-05-07,99.51,100.05,98.0,99.3,1511341,0
2015-05-08,100.46,101.5,99.98,101.41,954400,0
2015-05-11,101.18,101.99,99.56,101.65,2077200,0
2015-05-12,100.69,103.4,100.17,102.98,2715269,0
2015-05-13,103.0,104.68,102.91,103.48,2138600,0
2015-05-14,103.83,104.24,102.47,103.05,981800,0
2015-05-15,102.91,103.48,100.9,103.17,1636522,0
2015-05-18,103.21,103.79,102.45,103.61,1055554,0
2015-05-19,104.27,104.27,101.64,102.01,1454000,0
2015-05-20,101.96,103.4,101.09,103.25,1249400,0
2015-05-21,103.01,105.83,103.01,105.13,2316900,0
2015-05-22,104.99,105.36,103.64,104.89,1160100,0
2015-05-26,104.7,105.12,103.89,104.36,1413883,0
2015-05-27,104.45,105.44,104.09,104.5,1155400,0
2015-05-28,100.81,101.0,94.27,94.95,8953210,0
2015-05-29,92.67,93.32,87.9,88.91,10706500,0
2015-06-01,89.68,90.81,88.52,90.38,3951174,0
2015-06-02,90.2,92.88,90.18,92.06,2882735,0
2015-06-03,92.28,92.94,91.18,91.63,2238900,0
2015-06-04,90.85,91.85,90.7,91.19,2116400,0
2015-06-05,91.51,92.27,90.85,91.86,1307500,0
2015-06-08,91.87,92.32,90.17,90.34,1635700,0
2015-06-09,90.23,90.58,88.46,88.88,2340908,0
2015-06-10,89.57,90.34,89.07,89.68,1889141,0
2015-06-11,89.77,90.36,89.6,89.72,1305947,0
2015-06-12,90.59,92.25,89.87,91.44,2320700,0
2015-06-15,90.78,91.76,89.85,91.14,1483900,0
2015-06-16,89.11,89.5,86.88,88.76,3588700,0
2015-06-17,88.93,91.05,88.82,90.53,2134300,0
2015-06-18,90.77,93.0,90.71,92.58,1905100,0
2015-06-19,92.18,92.73,91.76,91.92,1409900,0
2015-06-22,92.25,92.65,91.13,92.13,1503300,0
2015-06-23,92.4,93.35,92.03,92.57,1816519,0
2015-06-24,92.51,92.99,91.57,92.32,1137600,0
2015-06-25,92.61,92.61,88.99,89.58,2111800,0
2015-06-26,89.85,90.03,89.12,89.97,1568000,0
2015-06-29,88.88,89.39,87.08,87.24,2221300,0
2015-06-30,88.12,88.6,87.5,87.62,1809364,0
2015-07-01,87.64,87.99,82.96,83.6,4131900,0
2015-07-02,83.71,84.67,83.08,84.28,1788800,0
2015-07-06,83.31,85.27,82.63,83.25,1737600,0
2015-07-07,83.3,83.69,80.08,83.31,2302200,0
