Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,40.586,41.398,38.825,39.183,27092,0
2015-01-05,38.775,39.561,37.937,38.963,76258,0
2015-01-06,38.845,39.3,37.917,38.575,56221,0
2015-01-07,38.7,39.058,37.55,38.09,58967,0
2015-01-08,38.427,39.309,38.409,39.262,25962,0
2015-01-09,39.144,39.144,38.313,38.7,28021,0
2015-01-12,38.765,38.972,38.129,38.236,51256,0
2015-01-13,38.643,39.551,37.751,38.236,51033,0
2015-01-14,38.004,38.68,37.917,38.138,53317,0
2015-01-15,38.138,38.147,37.481,38.004,44679,0
2015-01-16,37.761,39.687,37.761,38.68,50114,0
2015-01-20,38.565,39.541,37.647,38.496,45399,0
2015-01-21,38.333,38.737,36.911,37.162,169389,0
2015-01-22,37.075,38.07,36.969,37.887,70462,0
2015-01-23,37.966,38.765,37.432,38.427,51666,0
2015-01-26,38.604,38.943,38.323,38.883,19479,0
2015-01-27,38.535,39.338,38.535,38.972,47591,0
2015-01-28,39.124,39.222,38.526,38.943,43402,0
2015-01-29,38.883,39.59,38.476,39.58,45786,0
2015-01-30,39.164,39.444,37.422,37.511,46632,0
2015-02-02,37.384,38.226,37.192,37.713,68772,0
2015-02-03,37.741,39.202,37.617,39.114,68525,0
2015-02-04,39.222,39.3,38.295,38.447,52802,0
2015-02-05,38.883,39.076,38.419,38.854,34750,0
2015-02-06,38.737,38.893,37.54,37.887,82380,0
2015-02-09,37.723,38.506,37.442,38.409,41875,0
2015-02-10,38.419,39.174,38.09,38.805,38003,0
2015-02-11,38.874,39.687,38.737,39.473,35211,0
2015-02-12,39.648,40.257,39.174,39.657,52684,0
2015-02-13,39.648,40.749,39.463,39.724,54768,0
2015-02-17,39.511,39.938,38.933,39.252,37031,0
2015-02-18,39.076,39.83,38.747,39.811,56036,0
2015-02-19,40.035,40.518,39.291,40.064,30164,0
2015-02-20,40.141,40.238,39.144,39.6,57212,0
2015-02-23,39.638,40.131,39.192,40.006,43307,0
2015-02-24,39.957,40.42,39.085,39.367,21910,0
2015-02-25,39.483,39.899,38.835,39.59,35918,0
2015-02-26,39.453,40.711,39.222,40.663,36878,0
