Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,39.266,39.363,36.629,37.039,395687,0
2015-01-05,36.771,36.771,35.459,35.995,422014,0
2015-01-06,35.995,36.404,35.691,36.064,358984,0
2015-01-07,36.2,36.385,35.665,36.132,442886,0
2015-01-08,36.14,36.498,35.332,35.459,956083,0
2015-01-09,35.606,35.912,35.2,35.596,499937,0
2015-01-12,35.596,35.974,35.442,35.516,309874,0
2015-01-13,35.876,36.329,35.507,35.749,278979,0
2015-01-14,35.524,35.921,35.317,35.776,256642,0
2015-01-15,35.948,36.191,35.577,35.641,234462,0
2015-01-16,35.487,36.03,35.487,35.776,267226,0
2015-01-20,35.903,36.23,35.28,35.524,251361,0
2015-01-21,35.659,36.055,35.234,35.497,261247,0
2015-01-22,35.812,36.508,35.586,36.38,284170,0
2015-01-23,36.122,36.626,35.885,36.498,216561,0
2015-01-26,36.626,36.977,36.122,36.951,220121,0
2015-01-27,36.678,37.004,36.389,36.752,194328,0
2015-01-28,37.023,37.023,35.983,36.132,167934,0
2015-01-29,36.132,36.579,35.894,36.48,219096,0
2015-01-30,36.329,36.715,35.803,36.261,369503,0
2015-02-02,36.261,37.645,36.082,37.593,321036,0
2015-02-03,37.692,38.541,37.455,38.395,465859,0
2015-02-04,38.892,40.842,38.892,40.048,837686,0
2015-02-05,40.048,41.743,39.822,41.638,803139,0
2015-02-06,41.538,42.621,41.329,42.432,449231,0
2015-02-09,42.494,42.848,40.698,41.114,481426,0
2015-02-10,41.438,41.529,40.545,41.121,332016,0
2015-02-11,41.213,41.538,40.68,41.085,258420,0
2015-02-12,41.401,41.838,41.248,41.574,254123,0
2015-02-13,41.664,41.828,41.06,41.384,213673,0
2015-02-17,41.438,42.088,41.121,41.852,242008,0
2015-02-18,41.852,42.405,41.629,42.386,217676,0
2015-02-19,42.323,42.666,42.258,42.541,188042,0
2015-02-20,42.367,42.576,41.828,42.315,177907,0
2015-02-23,42.297,42.73,41.944,42.649,240801,0
2015-02-24,42.603,43.253,42.07,43.099,216647,0
2015-02-25,42.929,42.983,42.377,42.549,210016,0
2015-02-26,42.611,43.344,42.585,43.296,257827,0
2015-02-27,43.344,43.64,42.891,43.263,417520,0
2015-03-02,43.363,43.513,42.683,43.363,275640,0
2015-03-03,43.38,43.85,42.929,43.182,535996,0
2015-03-04,43.237,43.505,42.848,43.434,288486,0
2015-03-05,43.58,43.58,42.576,42.957,295350,0
2015-03-06,42.666,43.388,42.278,43.354,339427,0
2015-03-09,43.513,43.561,42.169,42.217,267445,0
2015-03-10,41.988,42.06,40.798,41.664,259803,0
2015-03-11,41.681,41.871,40.635,40.941,286604,0
2015-03-12,41.23,42.017,41.23,41.71,174090,0
2015-03-13,41.701,41.701,40.778,41.313,188263,0
2015-03-16,41.356,41.356,40.228,40.77,369219,0
2015-03-17,40.735,41.177,40.344,41.131,233114,0
2015-03-18,41.104,41.167,40.167,40.788,243856,0
2015-03-19,40.851,41.267,40.473,40.635,172758,0
2015-03-20,40.897,41.582,40.644,41.475,793586,0
2015-03-23,41.52,42.549,41.492,42.133,212957,0
2015-03-24,42.258,42.423,42.017,42.217,165893,0
2015-03-25,42.414,42.683,41.71,41.719,117276,0
2015-03-26,41.753,42.141,41.104,41.43,148175,0
2015-03-27,41.5,41.944,41.185,41.898,163235,0
2015-03-30,41.962,42.468,41.691,42.25,142970,0
2015-03-31,42.241,42.858,42.098,42.585,245438,0
2015-04-01,42.169,42.405,41.555,42.341,235882,0
2015-04-02,42.666,43.073,42.414,42.703,120267,0
2015-04-06,42.711,43.099,42.703,42.999,190699,0
2015-04-07,43.173,43.335,42.782,42.938,178505,0
2015-04-08,42.891,43.054,42.351,42.711,202438,0
2015-04-09,42.829,43.099,42.035,42.757,298745,0
2015-04-10,43.012,43.807,42.674,43.461,357824,0
2015-04-13,43.512,43.77,43.168,43.689,160895,0
2015-04-14,43.714,43.724,43.285,43.461,157390,0
2015-04-15,43.451,43.998,42.73,42.949,206849,0
2015-04-16,43.112,43.522,42.748,43.058,139320,0
2015-04-17,42.83,43.432,42.83,43.303,140741,0
2015-04-20,43.432,44.035,43.351,43.461,216964,0
2015-04-21,43.632,43.798,43.068,43.597,183110,0
2015-04-22,43.589,43.798,43.303,43.522,147722,0
2015-04-23,43.597,44.035,43.479,43.58,131105,0
2015-04-24,43.724,44.025,43.323,43.623,95807,0
2015-04-27,43.597,43.944,43.177,43.361,126175,0
2015-04-28,43.361,44.061,43.332,43.935,125954,0
2015-04-29,43.742,43.935,43.131,43.177,136472,0
2015-04-30,43.177,43.632,42.619,42.94,221793,0
2015-05-01,43.249,43.504,42.601,42.901,176995,0
