Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,64.415,65.24,64.195,64.816,8580425,0
2015-01-05,64.44,64.443,63.312,63.385,13033863,0
2015-01-06,63.538,63.78,62.332,62.976,11315848,0
2015-01-07,63.112,63.868,62.964,63.822,9554337,0
2015-01-08,64.371,64.841,64.231,64.675,10675505,0
2015-01-09,64.47,64.681,63.533,63.718,10757123,0
2015-01-12,63.844,64.076,63.378,63.594,6566462,0
2015-01-13,64.081,65.008,63.37,63.78,10510660,0
2015-01-14,62.764,63.245,62.151,62.504,12496650,0
2015-01-15,62.781,62.969,61.719,61.909,10814663,0
2015-01-16,61.579,62.391,61.509,62.354,11384318,0
2015-01-20,62.582,63.513,62.184,62.813,15265227,0
2015-01-21,62.65,63.499,62.243,62.922,10001083,0
2015-01-22,62.477,63.342,61.968,63.0,11822707,0
2015-01-23,63.4,63.748,63.142,63.17,6303496,0
2015-01-26,62.839,62.925,62.072,62.738,8742283,0
2015-01-27,62.069,62.069,60.796,61.384,11271618,0
2015-01-28,61.762,61.879,60.238,60.254,11496168,0
2015-01-29,60.166,60.851,59.961,60.654,15976238,0
2015-01-30,63.686,64.473,62.344,62.344,22642802,0
2015-02-02,62.685,62.685,61.069,62.449,13970431,0
2015-02-03,62.781,63.699,62.302,63.538,15409143,0
2015-02-04,63.489,65.234,63.368,64.785,22662307,0
2015-02-05,65.363,66.476,65.031,66.476,16931641,0
2015-02-06,66.463,66.633,65.066,65.402,11491458,0
2015-02-09,65.4,65.627,64.881,64.924,8008243,0
2015-02-10,65.24,65.511,64.476,64.701,9597801,0
2015-02-11,64.924,65.247,64.745,65.172,8974265,0
2015-02-12,65.57,66.378,65.434,66.378,11876348,0
2015-02-13,66.829,66.829,65.856,66.063,8649952,0
2015-02-17,66.517,66.641,66.121,66.368,6949967,0
2015-02-18,66.368,66.4,65.702,65.938,6549922,0
2015-02-19,66.171,66.171,65.664,65.934,5769443,0
2015-02-20,65.92,66.889,65.434,66.889,9217669,0
2015-02-23,66.88,66.967,66.215,66.891,6789206,0
2015-02-24,67.087,67.087,66.44,66.759,9233120,0
2015-02-25,66.463,67.192,66.463,66.891,6982083,0
2015-02-26,66.937,67.256,66.648,67.074,13731509,0
2015-02-27,67.005,67.182,66.476,66.476,8124885,0
2015-03-02,67.799,68.185,67.241,68.185,11890286,0
2015-03-03,68.191,68.274,67.012,67.452,8985976,0
2015-03-04,67.417,67.417,66.704,67.074,8184391,0
2015-03-05,67.282,67.414,67.074,67.166,6893453,0
2015-03-06,66.987,67.251,65.97,65.993,11826209,0
2015-03-09,66.282,66.694,65.929,66.502,9084745,0
2015-03-10,66.065,66.118,64.978,64.978,11351545,0
2015-03-11,65.084,65.511,64.45,64.869,12351481,0
2015-03-12,65.272,66.153,65.247,65.524,9729195,0
2015-03-13,65.871,65.871,64.806,64.937,12839207,0
2015-03-16,65.393,66.165,65.33,65.916,10049583,0
2015-03-17,65.679,65.751,64.718,64.806,14581141,0
2015-03-18,64.706,65.659,63.462,65.583,51688236,0
2015-03-19,65.497,65.851,64.438,65.478,15720868,0
2015-03-20,65.92,66.35,65.449,66.065,15684746,0
2015-03-23,66.604,66.851,65.732,65.742,8293364,0
2015-03-24,65.761,66.34,65.506,65.761,6667751,0
2015-03-25,65.761,66.085,64.419,64.419,13319789,0
2015-03-26,63.948,64.978,63.723,64.282,9680219,0
2015-03-27,64.136,64.498,63.852,64.233,6653773,0
2015-03-30,64.693,64.996,64.193,64.351,11465618,0
2015-03-31,64.165,64.891,64.086,64.106,7550983,0
2015-04-01,64.145,64.213,63.165,63.88,7788194,0
2015-04-02,63.665,64.312,63.518,63.988,5186415,0
2015-04-06,63.439,64.332,63.125,63.9,8521005,0
2015-04-07,64.076,64.871,64.008,64.488,6796293,0
2015-04-08,64.556,65.506,64.488,65.174,6738461,0
2015-04-09,65.242,65.488,64.448,65.116,5518463,0
2015-04-10,65.361,65.361,64.616,65.016,4722974,0
2015-04-13,64.901,65.468,64.203,64.302,5162643,0
2015-04-14,64.213,64.626,63.586,64.223,5736074,0
2015-04-15,64.282,64.596,63.998,64.371,5454863,0
2015-04-16,64.223,64.693,64.047,64.342,4205165,0
2015-04-17,63.802,64.193,63.068,63.233,11440926,0
2015-04-20,63.694,63.91,63.293,63.429,6069930,0
2015-04-21,63.733,64.517,63.694,64.047,9815460,0
2015-04-22,64.508,68.584,64.478,66.653,21336432,0
2015-04-23,66.771,66.861,66.173,66.37,7339753,0
2015-04-24,66.771,66.821,65.968,66.133,6346388,0
2015-04-27,67.241,67.241,65.595,65.761,7267306,0
2015-04-28,65.92,66.153,65.086,65.439,6425608,0
2015-04-29,65.459,67.095,65.449,65.997,10012034,0
2015-04-30,65.841,66.153,64.116,64.733,12020278,0
2015-05-01,63.92,65.332,63.852,64.458,10349055,0
2015-05-04,64.733,64.821,64.165,64.272,7577388,0
2015-05-05,64.458,65.066,64.292,64.645,8264592,0
2015-05-06,64.831,65.322,63.928,64.361,7226248,0
2015-05-07,64.272,65.449,64.233,65.252,6795750,0
2015-05-08,65.801,68.762,65.674,68.085,18732517,0
2015-05-11,67.918,68.311,67.419,67.644,11222165,0
2015-05-12,67.145,67.624,66.614,67.32,7589461,0
2015-05-13,67.497,67.625,66.946,67.399,5225536,0
2015-05-14,67.704,68.755,67.595,68.725,6611491,0
2015-05-15,68.823,69.402,68.046,68.303,7253199,0
2015-05-18,68.468,68.959,67.869,68.725,5657996,0
2015-05-19,68.862,69.275,68.725,68.882,4431787,0
2015-05-20,68.969,69.037,68.215,68.508,4960463,0
2015-05-21,68.284,68.596,68.017,68.106,6604157,0
2015-05-22,68.056,68.576,68.036,68.351,4595346,0
2015-05-26,68.125,68.235,67.066,67.29,6343302,0
2015-05-27,67.536,68.468,67.251,68.225,7195940,0
2015-05-28,68.125,68.508,67.546,68.294,3966237,0
2015-05-29,68.066,68.332,67.271,67.428,6802063,0
2015-06-01,67.869,68.185,67.184,67.849,6426497,0
2015-06-02,67.536,68.195,66.77,67.783,4540465,0
2015-06-03,67.81,68.235,67.635,67.695,4997476,0
2015-06-04,67.379,67.879,66.79,66.966,6579915,0
2015-06-05,67.046,67.447,66.76,67.125,4494916,0
2015-06-08,66.946,67.046,66.388,66.446,4954493,0
2015-06-09,66.436,66.85,66.3,66.711,4522090,0
2015-06-10,66.946,68.4,66.869,68.36,6933807,0
2015-06-11,68.429,68.745,68.155,68.37,5335975,0
2015-06-12,68.165,68.468,67.764,68.066,4991466,0
2015-06-15,67.467,67.734,66.927,67.32,6106386,0
2015-06-16,67.203,67.909,67.046,67.754,6047510,0
2015-06-17,67.849,68.145,67.261,67.497,7963327,0
2015-06-18,67.645,68.566,67.625,68.235,7737714,0
2015-06-19,68.007,68.066,67.232,67.437,8890831,0
2015-06-22,68.056,68.175,67.645,67.829,5614012,0
2015-06-23,67.839,68.323,67.829,68.155,3960888,0
2015-06-24,67.849,68.135,67.507,67.605,4757196,0
2015-06-25,68.116,68.116,67.261,67.369,4792338,0
2015-06-26,67.447,67.948,67.164,67.497,7155912,0
2015-06-29,66.76,67.241,65.475,65.504,9886881,0
