Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,15.057,15.057,14.735,14.83,708449,0
2015-01-05,14.391,14.709,14.391,14.53,1036136,0
2015-01-06,14.701,14.823,14.503,14.599,1269926,0
2015-01-07,14.997,15.142,14.839,14.944,918775,0
2015-01-08,15.057,15.367,14.997,15.168,1350341,0
2015-01-09,15.168,15.353,15.097,15.178,1183791,0
2015-01-12,14.961,15.273,14.778,15.203,1561925,0
2015-01-13,15.299,15.8,15.235,15.628,1305001,0
2015-01-14,15.872,16.171,15.748,15.954,1666230,0
2015-01-15,16.313,16.346,16.05,16.11,1626923,0
2015-01-16,16.423,16.69,16.313,16.447,1701192,0
2015-01-20,16.518,16.933,16.465,16.898,1703851,0
2015-01-21,17.176,17.537,17.09,17.528,2090924,0
2015-01-22,17.727,17.763,17.202,17.333,2653516,0
2015-01-23,17.287,17.35,17.202,17.235,1064341,0
2015-01-26,16.905,17.027,16.866,16.984,1344777,0
2015-01-27,16.848,17.107,16.698,16.949,1866791,0
2015-01-28,16.83,17.176,16.726,16.898,1062782,0
2015-01-29,16.941,17.09,16.681,17.046,1471518,0
2015-01-30,16.147,16.33,15.836,15.946,2057199,0
2015-02-02,16.206,16.491,16.155,16.491,1389859,0
2015-02-03,16.605,16.751,16.536,16.649,7473173,0
2015-02-04,16.277,16.569,16.251,16.373,4480799,0
2015-02-05,16.163,16.777,16.12,16.777,1724461,0
2015-02-06,16.147,16.373,16.007,16.242,1657754,0
2015-02-09,16.179,16.363,16.155,16.242,1766413,0
2015-02-10,16.415,16.447,16.066,16.128,1295961,0
2015-02-11,15.809,16.18,15.779,16.136,1152388,0
2015-02-12,16.274,16.772,16.274,16.763,4436829,0
2015-02-13,16.591,17.235,16.581,17.226,2213522,0
2015-02-17,17.373,17.382,17.045,17.318,777577,0
2015-02-18,17.309,17.454,17.137,17.318,1117771,0
2015-02-19,17.235,17.328,17.064,17.154,551378,0
2015-02-20,17.137,17.146,16.892,17.073,1019818,0
2015-02-23,16.916,17.091,16.664,16.744,2143362,0
2015-02-24,16.944,17.281,16.564,17.109,2404804,0
2015-02-25,17.29,17.373,16.865,16.916,1963984,0
2015-02-26,17.035,17.064,16.499,16.547,1373768,0
2015-02-27,16.654,17.1,16.547,16.856,1522990,0
2015-03-02,16.827,16.827,16.426,16.444,1094535,0
2015-03-03,16.355,16.664,16.163,16.208,2470561,0
2015-03-04,15.875,15.91,15.391,15.516,2044189,0
2015-03-05,15.382,15.498,15.225,15.362,1780073,0
2015-03-06,15.199,15.225,14.826,14.891,1324000,0
2015-03-09,14.743,14.773,14.327,14.346,2609278,0
2015-03-10,14.3,14.407,14.146,14.246,3348830,0
2015-03-11,14.246,14.317,13.918,14.227,2785723,0
2015-03-12,14.609,14.773,14.191,14.391,3334308,0
2015-03-13,14.163,14.246,13.983,14.191,2086209,0
2015-03-16,14.407,14.472,14.146,14.183,1757961,0
2015-03-17,14.1,14.672,14.052,14.645,1781063,0
2015-03-18,14.636,15.209,14.617,15.009,2623247,0
2015-03-19,14.753,14.872,13.854,14.02,3674877,0
2015-03-20,14.391,14.391,13.918,13.956,3167544,0
2015-03-23,14.07,14.2,13.946,14.191,1852454,0
2015-03-24,14.491,14.617,14.317,14.601,2517972,0
2015-03-25,14.763,14.853,14.291,14.31,2059262,0
2015-03-26,14.236,14.373,13.693,13.711,3742199,0
2015-03-27,13.674,13.755,13.264,13.355,3873983,0
2015-03-30,13.472,13.928,13.427,13.816,2638648,0
2015-03-31,13.881,14.035,13.729,13.899,2877997,0
2015-04-01,14.08,14.236,13.844,13.928,2947427,0
2015-04-02,14.183,14.398,14.07,14.09,3387218,0
2015-04-06,14.398,14.407,13.863,13.928,3329580,0
2015-04-07,13.976,13.976,13.399,13.418,4163307,0
2015-04-08,13.719,13.983,13.58,13.835,4373617,0
2015-04-09,14.061,14.219,13.844,13.899,3095460,0
2015-04-10,13.83,13.971,13.734,13.768,2602885,0
2015-04-13,13.783,13.802,13.513,13.632,2391201,0
2015-04-14,13.706,13.715,13.477,13.623,1696328,0
2015-04-15,13.679,13.792,13.613,13.613,4904919,0
2015-04-16,13.706,14.188,13.651,13.971,4051813,0
2015-04-17,13.858,14.056,13.792,13.971,2666004,0
2015-04-20,14.015,14.402,13.98,14.305,1780471,0
2015-04-21,14.395,14.524,14.259,14.259,967351,0
2015-04-22,14.448,14.858,14.402,14.814,2319089,0
2015-04-23,14.641,14.887,14.532,14.687,1556452,0
2015-04-24,14.623,14.831,14.561,14.805,1927392,0
2015-04-27,14.943,15.239,14.858,15.024,2452671,0
2015-04-28,14.896,15.333,14.776,15.23,21011553,0
2015-04-29,15.042,15.45,14.934,15.286,7177561,0
2015-04-30,15.187,15.222,14.814,14.934,3332507,0
2015-05-01,15.032,15.076,14.66,14.831,1437910,0
2015-05-04,14.694,14.849,14.477,14.786,3581247,0
2015-05-05,14.552,14.668,14.16,14.214,3612808,0
2015-05-06,14.402,14.458,13.933,14.223,3161554,0
2015-05-07,14.214,14.269,14.024,14.056,2096208,0
2015-05-08,14.251,14.421,14.095,14.36,2186114,0
2015-05-11,14.341,14.421,13.987,13.987,2332040,0
2015-05-12,13.987,13.987,13.768,13.821,6678294,0
2015-05-13,13.941,13.971,13.706,13.868,3512299,0
2015-05-14,14.024,14.395,13.98,14.378,2509634,0
2015-05-15,14.305,14.623,14.196,14.542,2480692,0
2015-05-18,14.477,14.496,14.113,14.178,2339015,0
2015-05-19,14.031,14.031,13.84,13.995,3009756,0
2015-05-20,13.84,13.849,13.669,13.689,5659488,0
2015-05-21,13.605,13.642,13.458,13.503,3187242,0
2015-05-22,13.566,13.566,13.195,13.25,3744106,0
2015-05-26,13.014,13.097,12.715,12.733,4152617,0
2015-05-27,12.678,12.858,12.621,12.83,3524280,0
2015-05-28,12.688,12.794,12.584,12.785,2549158,0
2015-05-29,12.767,12.903,12.65,12.849,3309447,0
2015-06-01,12.923,12.979,12.794,12.83,2121098,0
2015-06-02,12.969,13.188,12.96,13.113,1799175,0
2015-06-03,13.097,13.252,13.077,13.097,1593404,0
2015-06-04,13.05,13.159,12.794,12.814,2882190,0
2015-06-05,12.584,12.631,12.483,12.53,4934828,0
2015-06-08,12.603,12.621,12.238,12.448,5361540,0
2015-06-09,12.411,12.411,12.248,12.355,6924806,0
2015-06-10,12.822,12.867,12.558,12.558,3223531,0
2015-06-11,12.364,12.457,12.275,12.301,4270033,0
2015-06-12,12.238,12.327,12.036,12.327,2353537,0
2015-06-15,12.137,12.502,12.101,12.346,3691924,0
2015-06-16,12.355,12.705,12.293,12.53,4325363,0
2015-06-17,12.474,12.903,12.431,12.804,3648891,0
2015-06-18,12.748,13.123,12.678,13.059,4506584,0
2015-06-19,12.894,12.933,12.493,12.521,6120243,0
2015-06-22,12.678,12.758,12.493,12.512,2781559,0
2015-06-23,12.493,12.502,12.311,12.439,4107773,0
2015-06-24,12.474,12.739,12.421,12.668,5365702,0
2015-06-25,12.785,12.979,12.641,12.65,2733819,0
