Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,44.853,44.919,43.292,43.998,104108,0
2015-01-05,43.592,43.592,42.874,43.03,155167,0
2015-01-06,43.046,43.112,41.885,41.985,143553,0
2015-01-07,41.839,42.628,41.839,42.268,121339,0
2015-01-08,42.548,43.093,42.32,42.828,114496,0
2015-01-09,42.785,42.785,41.303,41.349,110333,0
2015-01-12,41.185,41.667,40.948,41.076,221728,0
2015-01-13,41.522,42.066,40.295,40.777,196940,0
2015-01-14,40.104,40.593,39.385,40.268,161098,0
2015-01-15,40.521,40.521,39.393,39.578,178517,0
2015-01-16,39.368,39.749,37.961,39.649,275771,0
2015-01-20,39.649,39.649,38.85,38.968,414543,0
2015-01-21,38.85,39.495,38.068,38.27,204856,0
2015-01-22,38.577,39.948,38.35,39.714,334313,0
2015-01-23,39.677,40.104,38.743,39.241,177056,0
2015-01-26,39.096,39.606,38.558,39.55,159647,0
2015-01-27,39.54,39.54,38.932,39.15,156117,0
2015-01-28,40.599,40.599,38.044,38.212,166008,0
2015-01-29,38.29,39.165,37.693,38.262,201951,0
2015-01-30,37.921,38.242,37.188,37.29,203591,0
2015-02-02,37.361,38.69,37.361,38.69,196627,0
2015-02-03,39.03,39.892,38.856,39.386,176213,0
2015-02-04,39.316,39.608,38.747,38.766,104656,0
2015-02-05,38.948,39.828,38.948,39.719,116130,0
2015-02-06,39.837,40.734,39.8,40.039,186056,0
2015-02-09,39.964,40.039,39.095,39.224,136323,0
2015-02-10,39.268,39.428,38.774,39.268,111441,0
2015-02-11,38.957,39.249,38.606,38.847,65758,0
2015-02-12,39.13,39.572,39.13,39.524,158326,0
2015-02-13,39.653,40.488,39.607,39.955,193735,0
2015-02-17,40.093,40.328,39.7,40.258,156867,0
2015-02-18,39.964,40.175,39.326,39.515,90294,0
2015-02-19,39.352,39.543,38.903,39.241,136640,0
2015-02-20,39.296,39.7,38.4,39.644,138498,0
2015-02-23,39.159,39.653,38.957,39.617,99691,0
2015-02-24,39.601,40.214,39.515,39.719,100285,0
2015-02-25,39.644,39.902,39.405,39.709,112015,0
2015-02-26,39.626,40.031,39.481,39.993,96146,0
2015-02-27,39.884,39.993,39.481,39.481,79834,0
2015-03-02,39.524,40.047,39.425,39.884,144440,0
2015-03-03,39.902,39.902,39.369,39.543,109312,0
2015-03-04,39.434,39.49,39.003,39.232,88366,0
2015-03-05,39.249,39.572,38.738,39.49,91747,0
2015-03-06,39.425,40.469,39.306,39.911,174333,0
2015-03-09,40.333,40.654,39.902,40.286,152295,0
2015-03-10,39.691,39.974,38.957,38.965,146949,0
2015-03-11,38.893,39.268,38.571,39.067,124151,0
2015-03-12,39.471,40.581,38.866,40.395,172804,0
2015-03-13,40.444,40.444,39.334,39.845,122730,0
2015-03-16,40.013,40.195,39.818,39.921,116075,0
2015-03-17,39.737,40.277,39.481,40.214,109419,0
2015-03-18,40.039,40.91,39.505,39.955,185789,0
2015-03-19,39.727,40.395,39.626,40.231,241753,0
2015-03-20,39.783,40.973,39.783,40.863,563035,0
2015-03-23,40.863,41.496,40.241,40.488,108002,0
2015-03-24,40.395,40.69,40.031,40.149,236406,0
2015-03-25,40.149,40.175,39.453,39.498,159275,0
2015-03-26,39.405,39.8,38.92,39.727,102658,0
2015-03-27,39.783,39.783,39.296,39.36,196041,0
2015-03-30,39.515,40.333,39.352,39.911,185023,0
2015-03-31,39.791,39.911,39.369,39.608,156899,0
2015-04-01,39.505,39.653,38.847,39.14,263792,0
2015-04-02,39.763,39.763,38.985,39.498,129605,0
2015-04-06,39.186,39.49,38.671,39.352,116621,0
2015-04-07,39.608,39.705,39.232,39.326,121229,0
2015-04-08,39.929,39.929,39.149,39.369,81493,0
2015-04-09,39.572,39.572,38.581,39.36,94966,0
2015-04-10,39.515,39.662,39.095,39.581,148368,0
2015-04-13,39.727,40.231,39.306,40.185,102873,0
2015-04-14,40.131,40.131,39.232,40.003,107784,0
2015-04-15,40.175,40.8,39.763,40.469,306320,0
2015-04-16,40.734,41.34,39.809,40.91,308187,0
2015-04-17,40.654,40.828,40.047,40.588,285500,0
2015-04-20,40.763,41.166,40.452,40.809,142475,0
2015-04-21,41.038,41.074,40.14,40.352,160022,0
2015-04-22,40.314,40.708,39.855,40.69,86074,0
2015-04-23,40.514,40.754,40.14,40.544,112912,0
2015-04-24,40.554,40.554,39.845,40.066,124917,0
2015-04-27,40.14,40.754,39.386,39.791,156222,0
2015-04-28,40.013,40.554,39.874,40.497,222551,0
2015-04-29,40.358,41.083,40.248,40.726,196914,0
2015-04-30,40.69,40.763,40.051,40.264,230382,0
2015-05-01,40.374,40.542,39.728,39.932,229626,0
2015-05-04,39.967,40.615,39.932,40.458,123844,0
2015-05-05,40.31,40.606,39.923,40.292,147208,0
2015-05-06,40.412,40.624,39.94,40.596,109026,0
2015-05-07,40.503,40.93,40.225,40.643,163215,0
2015-05-08,40.965,41.004,40.329,40.734,147100,0
2015-05-11,40.8,41.077,40.45,40.957,163647,0
2015-05-12,40.873,41.235,40.171,41.086,106104,0
2015-05-13,41.125,41.255,40.68,41.125,107945,0
2015-05-14,41.161,41.929,40.947,41.531,261426,0
2015-05-15,41.476,41.476,40.388,40.8,187902,0
2015-05-18,40.873,41.597,40.782,41.512,212763,0
2015-05-19,41.707,42.297,41.48,42.216,204267,0
2015-05-20,42.306,42.382,41.772,42.306,149912,0
2015-05-21,42.336,42.382,41.873,42.095,199557,0
2015-05-22,42.086,42.427,41.873,41.946,144071,0
2015-05-26,41.873,41.919,41.503,41.734,161230,0
2015-05-27,41.855,42.206,41.531,42.15,97672,0
2015-05-28,41.993,42.427,41.845,42.418,128503,0
