Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,50.554,50.629,49.71,50.178,12755161,0
2015-01-05,49.664,49.868,48.711,48.803,16348087,0
2015-01-06,48.94,49.05,47.563,47.784,22031167,0
2015-01-07,48.279,48.288,47.802,48.069,17130568,0
2015-01-08,48.629,49.16,48.583,49.134,18227895,0
2015-01-09,49.114,49.16,48.316,48.326,15861903,0
2015-01-12,48.233,48.335,47.435,47.748,18496252,0
2015-01-13,47.977,48.188,47.014,47.563,27339235,0
2015-01-14,46.784,47.453,46.254,47.014,40976648,0
2015-01-15,46.978,47.281,46.29,46.529,35040430,0
2015-01-16,46.353,47.425,46.334,47.372,25262552,0
2015-01-20,47.664,47.977,47.425,47.701,19254656,0
2015-01-21,47.692,48.344,47.435,47.793,19543245,0
2015-01-22,48.152,49.373,48.143,49.324,23424292,0
2015-01-23,49.271,49.52,48.839,48.858,19381686,0
2015-01-26,48.545,49.169,48.519,49.151,14639466,0
2015-01-27,48.554,48.932,48.225,48.592,15643899,0
2015-01-28,48.904,48.95,47.84,47.848,19811892,0
2015-01-29,47.857,48.527,47.601,48.399,18199130,0
2015-01-30,47.876,48.408,47.611,47.63,23714418,0
2015-02-02,47.876,48.536,47.692,48.446,19308498,0
2015-02-03,48.619,49.105,48.592,49.032,22084270,0
2015-02-04,48.967,49.402,48.847,48.967,15633123,0
2015-02-05,49.161,49.715,49.143,49.557,14383808,0
2015-02-06,49.973,50.859,49.705,50.278,20919554,0
2015-02-09,50.112,50.278,49.928,50.057,10547271,0
2015-02-10,50.435,50.518,50.067,50.387,13366521,0
2015-02-11,49.928,50.103,49.547,49.772,19814657,0
2015-02-12,50.037,50.694,49.834,50.657,21830330,0
2015-02-13,50.779,51.304,50.611,51.092,20369545,0
2015-02-17,51.073,51.212,50.739,51.127,12896631,0
2015-02-18,50.869,50.97,50.235,50.345,14329113,0
2015-02-19,50.241,50.62,49.983,50.379,11679320,0
2015-02-20,50.241,50.731,49.891,50.63,16297662,0
2015-02-23,50.492,50.888,50.112,50.879,14852467,0
2015-02-24,50.961,51.285,50.805,51.127,12946775,0
2015-02-25,51.147,51.323,51.008,51.092,11389404,0
2015-02-26,50.988,51.107,50.749,50.925,14703556,0
2015-02-27,50.62,51.046,50.594,50.594,14010292,0
2015-03-02,50.602,51.304,50.526,51.295,14066006,0
2015-03-03,51.246,51.323,50.917,51.202,12735147,0
2015-03-04,50.944,50.97,50.483,50.62,18034862,0
2015-03-05,50.722,50.796,50.464,50.64,10370598,0
2015-03-06,50.769,51.239,50.335,50.407,18733592,0
2015-03-09,50.584,50.796,50.445,50.483,12928347,0
2015-03-10,49.948,50.019,49.207,49.207,20276495,0
2015-03-11,49.743,49.854,49.495,49.586,17991219,0
2015-03-12,50.345,51.378,50.047,51.332,28446072,0
2015-03-13,51.239,51.387,50.805,51.099,19050902,0
2015-03-16,51.239,51.542,51.092,51.461,16791510,0
2015-03-17,51.246,51.691,51.018,51.627,14195204,0
2015-03-18,51.414,51.967,51.239,51.868,21659877,0
2015-03-19,51.627,51.691,51.008,51.256,16072417,0
2015-03-20,51.276,51.904,51.266,51.719,28684759,0
2015-03-23,51.739,51.977,51.461,51.507,17844476,0
2015-03-24,51.433,51.59,51.107,51.107,15082912,0
2015-03-25,51.027,51.117,50.364,50.364,16692415,0
2015-03-26,50.186,50.555,49.834,50.325,16286305,0
2015-03-27,50.364,50.416,49.825,49.973,14728565,0
2015-03-30,50.226,50.805,50.226,50.574,12677967,0
2015-03-31,50.296,50.501,50.037,50.235,14410181,0
2015-04-01,50.226,50.249,49.66,49.808,16717542,0
2015-04-02,49.78,50.306,49.695,50.206,14618861,0
2015-04-06,49.695,50.206,49.456,49.938,11680879,0
2015-04-07,50.121,50.226,49.844,49.881,11754171,0
2015-04-08,49.844,50.196,49.705,49.864,10644047,0
2015-04-09,49.918,50.13,49.614,50.037,11116523,0
2015-04-10,50.148,50.306,49.908,50.157,10322297,0
2015-04-13,50.157,50.535,50.121,50.407,16170429,0
2015-04-14,49.799,50.296,49.465,50.037,31719662,0
2015-04-15,50.206,50.703,50.037,50.611,18299856,0
2015-04-16,50.372,50.851,50.176,50.611,16941059,0
2015-04-17,50.186,50.379,49.844,49.908,19027402,0
2015-04-20,50.249,50.483,50.019,50.196,14432939,0
