Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,182.7,184.55,179.94,181.6,537268,0
2015-01-05,180.01,180.94,177.36,177.87,779606,0
2015-01-06,178.78,179.24,175.13,176.38,878710,0
2015-01-07,178.19,181.43,177.16,180.54,643327,0
2015-01-08,182.03,185.71,180.92,185.19,938322,0
2015-01-09,185.69,188.1,184.69,185.57,936735,0
2015-01-12,186.26,188.61,183.72,187.19,927539,0
2015-01-13,189.2,193.02,183.29,185.71,1261056,0
2015-01-14,183.65,188.86,183.29,187.0,1180474,0
2015-01-15,187.07,188.85,183.59,183.93,957646,0
2015-01-16,183.27,188.62,182.87,188.35,650965,0
2015-01-20,188.43,189.7,184.7,186.19,772094,0
2015-01-21,186.01,187.33,185.05,185.97,930156,0
2015-01-22,187.91,188.96,186.53,187.91,1004564,0
2015-01-23,188.4,190.04,187.53,189.04,404539,0
2015-01-26,188.75,191.73,188.0,191.06,479634,0
2015-01-27,188.65,191.22,187.99,189.94,500759,0
2015-01-28,192.19,194.91,189.2,189.51,1207297,0
2015-01-29,189.8,192.09,187.7,191.91,1074350,0
2015-01-30,191.74,191.74,187.05,187.31,854883,0
2015-02-02,187.66,190.3,185.35,189.23,1363036,0
2015-02-03,190.25,190.9,186.49,189.18,1260041,0
2015-02-04,194.94,204.27,193.89,202.21,2289647,0
2015-02-05,202.53,202.74,198.08,198.87,1231471,0
2015-02-06,199.07,200.52,197.14,198.67,892783,0
2015-02-09,197.68,198.67,193.66,194.11,1148902,0
2015-02-10,195.68,196.87,193.19,195.79,856191,0
2015-02-11,195.99,197.36,194.31,195.52,635841,0
2015-02-12,196.83,201.23,195.51,200.48,1173831,0
2015-02-13,199.37,201.66,199.37,200.64,519123,0
2015-02-17,199.76,202.48,199.54,200.87,747205,0
2015-02-18,199.42,201.25,199.38,199.99,792143,0
2015-02-19,199.56,200.81,197.82,199.78,861861,0
2015-02-20,198.78,201.13,198.49,200.68,858687,0
2015-02-23,200.55,201.58,199.47,200.61,645943,0
2015-02-24,201.15,202.79,200.14,201.63,718789,0
2015-02-25,200.26,203.64,200.22,202.23,845391,0
2015-02-26,201.54,202.41,199.33,200.91,807129,0
2015-02-27,201.36,202.04,199.45,200.13,648539,0
2015-03-02,200.14,204.89,200.14,202.99,775888,0
2015-03-03,202.66,203.56,200.22,202.5,572967,0
2015-03-04,202.27,202.27,198.92,199.68,769534,0
2015-03-05,200.78,201.4,198.03,199.07,784996,0
2015-03-06,198.77,199.07,190.82,192.08,1250677,0
2015-03-09,192.18,194.77,190.8,194.22,977327,0
2015-03-10,193.08,193.27,189.66,191.24,772075,0
2015-03-11,191.83,192.08,184.25,185.7,1392700,0
2015-03-12,185.9,189.27,185.48,188.39,689044,0
2015-03-13,187.17,188.97,184.45,186.6,916428,0
2015-03-16,186.98,188.77,186.18,187.6,636194,0
2015-03-17,187.46,187.46,184.83,185.94,813698,0
2015-03-18,184.72,188.6,180.39,187.82,1507081,0
2015-03-19,186.78,188.1,182.94,183.3,1170080,0
2015-03-20,184.17,187.31,183.56,186.9,1083447,0
2015-03-23,186.0,189.0,185.62,186.16,871734,0
2015-03-24,185.43,190.09,185.43,187.19,956037,0
2015-03-25,186.69,188.06,183.12,183.27,701646,0
2015-03-26,182.11,186.24,182.04,185.11,1110665,0
2015-03-27,184.6,187.49,183.78,187.42,574872,0
2015-03-30,187.97,190.79,187.96,189.82,726956,0
2015-03-31,189.32,193.22,188.85,190.78,1067769,0
2015-04-01,190.63,191.19,187.8,190.17,990777,0
2015-04-02,188.77,190.42,188.14,189.2,870358,0
2015-04-06,188.62,191.12,188.02,189.8,623378,0
2015-04-07,189.78,190.81,186.65,186.71,694922,0
2015-04-08,182.73,186.28,179.63,185.19,2102820,0
2015-04-09,185.33,186.09,182.47,185.21,1061487,0
2015-04-10,186.46,186.8,184.53,184.76,641490,0
2015-04-13,184.86,184.86,181.66,183.12,857650,0
2015-04-14,182.65,185.93,181.33,184.88,670932,0
2015-04-15,185.56,186.0,183.12,184.08,824503,0
2015-04-16,183.08,183.16,180.54,180.68,912374,0
2015-04-17,179.16,180.89,178.45,179.02,986222,0
2015-04-20,180.94,184.06,180.44,183.98,1170794,0
2015-04-21,185.45,185.54,182.85,183.15,1035394,0
2015-04-22,182.84,183.46,180.8,181.07,988997,0
2015-04-23,180.57,181.48,179.29,180.26,1278849,0
2015-04-24,183.64,186.18,182.34,185.52,1231703,0
2015-04-27,185.7,189.0,185.7,186.8,2092545,0
2015-04-28,172.36,177.03,169.13,173.45,5014331,0
2015-04-29,172.74,173.01,167.35,169.05,1733409,0
2015-04-30,169.65,170.51,165.01,165.8,1791128,0
2015-05-01,166.04,170.33,165.61,169.29,1319412,0
2015-05-04,169.37,171.07,168.81,170.11,1099015,0
2015-05-05,170.22,171.44,169.52,169.57,984952,0
2015-05-06,169.78,170.67,167.94,168.87,890748,0
2015-05-07,169.51,172.63,169.17,172.34,1012350,0
2015-05-08,174.6,177.98,173.74,175.28,1285944,0
2015-05-11,175.42,178.39,174.69,176.55,1648998,0
2015-05-12,176.47,177.33,174.76,176.06,995093,0
2015-05-13,176.37,178.63,175.69,178.06,1102509,0
2015-05-14,179.34,180.49,178.45,179.62,984414,0
2015-05-15,179.33,179.7,175.53,178.2,1292033,0
2015-05-18,178.04,179.67,177.42,179.05,695826,0
2015-05-19,180.02,181.16,178.28,180.29,1054294,0
2015-05-20,180.11,180.3,178.23,179.42,814263,0
2015-05-21,178.15,182.67,178.02,182.21,1069151,0
2015-05-22,182.22,183.14,182.01,182.17,942466,0
2015-05-26,182.15,183.08,178.2,178.66,691604,0
