Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,13.51,13.89,13.51,13.58,100133,0
2015-01-05,13.7,14.12,13.67,13.98,186151,0
2015-01-06,14.05,14.6,13.9,13.98,449493,0
2015-01-07,14.02,14.43,14.02,14.22,92424,0
2015-01-08,14.25,15.4,14.25,15.01,252994,0
2015-01-09,15.13,15.99,14.99,15.96,167756,0
2015-01-12,16.07,16.53,15.25,15.3,147291,0
2015-01-13,15.37,15.45,14.2,14.86,168637,0
2015-01-14,14.95,15.82,14.87,14.89,138485,0
2015-01-15,14.92,15.03,14.53,15.0,90307,0
2015-01-16,15.0,15.34,14.92,15.1,99163,0
2015-01-20,15.32,15.37,14.59,14.9,46295,0
2015-01-21,14.82,14.99,14.61,14.75,35780,0
2015-01-22,14.82,14.99,14.59,14.86,188835,0
2015-01-23,14.98,14.98,14.31,14.33,72794,0
2015-01-26,14.41,14.41,13.51,13.93,55365,0
2015-01-27,13.99,13.99,13.18,13.66,99614,0
2015-01-28,13.75,13.87,13.15,13.18,68808,0
2015-01-29,13.3,13.5,13.09,13.37,91967,0
2015-01-30,13.41,13.49,12.26,12.28,163619,0
2015-02-02,12.44,12.85,12.41,12.79,199363,0
2015-02-03,12.75,12.78,12.51,12.55,91369,0
2015-02-04,12.58,13.25,12.58,13.09,66809,0
2015-02-05,13.19,13.68,13.19,13.4,249561,0
2015-02-06,13.4,13.56,13.07,13.2,148796,0
2015-02-09,13.23,13.48,13.01,13.35,108433,0
2015-02-10,13.5,13.58,13.15,13.29,107457,0
2015-02-11,13.11,13.63,13.07,13.38,233385,0
2015-02-12,13.63,13.86,13.04,13.24,153890,0
2015-02-13,13.22,13.68,13.18,13.22,146059,0
2015-02-17,13.18,13.85,13.15,13.48,100698,0
2015-02-18,13.53,13.86,13.4,13.54,68672,0
2015-02-19,13.5,13.67,13.41,13.48,87938,0
2015-02-20,13.3,13.71,13.23,13.52,101517,0
2015-02-23,13.46,13.85,13.37,13.55,95863,0
2015-02-24,13.69,13.69,13.09,13.48,129197,0
2015-02-25,13.37,13.66,13.3,13.32,76602,0
2015-02-26,13.38,13.38,12.67,12.9,206169,0
2015-02-27,12.95,13.09,12.25,12.8,716052,0
2015-03-02,12.74,13.8,12.61,13.77,157400,0
2015-03-03,13.85,13.85,13.32,13.43,90300,0
2015-03-04,13.45,14.22,13.38,14.02,156300,0
2015-03-05,14.27,14.73,13.99,14.53,198400,0
2015-03-06,14.53,14.7,14.11,14.25,220200,0
2015-03-09,14.16,14.68,13.85,14.5,278900,0
2015-03-10,14.34,14.6,14.03,14.3,115700,0
2015-03-11,14.21,14.62,14.17,14.51,253200,0
2015-03-12,14.8,15.16,13.4,13.62,769600,0
2015-03-13,13.6,13.75,13.03,13.07,173800,0
2015-03-16,13.25,13.65,13.23,13.62,232100,0
2015-03-17,13.64,14.05,13.43,13.5,146000,0
2015-03-18,13.51,13.75,13.4,13.65,102300,0
2015-03-19,13.78,14.15,13.39,13.49,130500,0
2015-03-20,13.61,13.86,13.26,13.71,386700,0
2015-03-23,13.77,14.43,13.76,14.3,190700,0
2015-03-24,14.32,14.6,13.96,14.12,120800,0
2015-03-25,14.19,14.5,14.0,14.43,72800,0
2015-03-26,14.46,14.57,13.87,14.5,83100,0
2015-03-27,14.45,14.59,14.19,14.5,109900,0
2015-03-30,14.6,14.6,14.0,14.04,102900,0
2015-03-31,14.0,14.79,13.85,14.4,751600,0
2015-04-01,14.47,14.54,14.03,14.07,63600,0
2015-04-02,14.22,14.25,14.02,14.2,84800,0
2015-04-06,14.07,14.95,14.07,14.76,153600,0
2015-04-07,14.79,15.0,14.56,15.0,108801,0
2015-04-08,14.95,15.0,14.75,15.0,130600,0
2015-04-09,14.94,14.95,14.13,14.4,179483,0
2015-04-10,14.61,14.77,14.12,14.6,210800,0
2015-04-13,14.65,14.78,14.05,14.34,122300,0
2015-04-14,14.28,14.45,14.08,14.43,181100,0
2015-04-15,14.48,14.73,14.33,14.68,64069,0
2015-04-16,14.75,14.82,14.58,14.79,100069,0
2015-04-17,14.7,14.71,14.4,14.48,95400,0
2015-04-20,14.51,14.71,14.51,14.68,44794,0
2015-04-21,14.69,15.0,14.42,14.79,175373,0
2015-04-22,14.76,15.0,14.71,14.92,60497,0
2015-04-23,14.82,14.86,14.69,14.79,83400,0
2015-04-24,14.74,14.8,14.73,14.78,38500,0
2015-04-27,14.78,14.8,14.56,14.68,43700,0
2015-04-28,14.69,14.84,14.62,14.79,44500,0
2015-04-29,14.73,14.76,14.29,14.41,35900,0
2015-04-30,14.45,14.58,14.28,14.47,60700,0
2015-05-01,14.49,14.65,14.25,14.36,56000,0
2015-05-04,14.33,14.76,14.28,14.47,61200,0
2015-05-05,14.42,14.44,14.15,14.34,85700,0
2015-05-06,14.1,14.91,14.1,14.49,150401,0
2015-05-07,14.5,14.71,14.0,14.28,147542,0
2015-05-08,14.37,14.39,13.63,13.66,123300,0
2015-05-11,13.85,14.01,13.59,13.69,71100,0
2015-05-12,13.64,13.82,13.26,13.72,118487,0
2015-05-13,13.72,13.96,13.57,13.61,43400,0
2015-05-14,13.65,13.95,13.52,13.65,40700,0
2015-05-15,13.64,13.81,13.45,13.6,37653,0
2015-05-18,13.66,13.89,13.4,13.56,61761,0
2015-05-19,13.52,13.55,13.28,13.43,75400,0
2015-05-20,13.37,13.37,13.08,13.2,119900,0
2015-05-21,13.25,13.25,13.08,13.15,77900,0
2015-05-22,13.19,13.2,13.07,13.14,48400,0
2015-05-26,13.08,13.17,12.69,13.14,93644,0
2015-05-27,13.15,13.31,13.04,13.3,82400,0
