Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,32.442,32.442,31.334,31.649,54917,0
2015-01-05,31.584,31.768,30.907,31.047,67777,0
2015-01-06,30.723,30.807,29.901,30.197,89198,0
2015-01-07,30.345,30.583,30.149,30.26,50471,0
2015-01-08,30.549,30.845,30.325,30.583,59135,0
2015-01-09,30.641,30.641,29.818,29.947,59282,0
2015-01-12,29.863,30.226,29.419,29.622,75053,0
2015-01-13,29.947,30.077,29.346,29.669,59914,0
2015-01-14,29.328,29.658,28.873,29.365,157720,0
2015-01-15,29.309,29.419,29.012,29.141,53335,0
2015-01-16,29.021,29.793,29.021,29.734,130590,0
2015-01-20,29.16,30.345,29.16,29.337,74527,0
2015-01-21,29.512,29.798,29.087,29.392,128977,0
2015-01-22,29.734,30.65,29.049,30.603,80092,0
2015-01-23,30.01,30.428,29.65,29.891,60110,0
2015-01-26,29.798,30.226,29.373,29.789,92166,0
2015-01-27,29.828,29.828,29.365,29.578,50804,0
2015-01-28,29.595,29.595,28.346,28.561,213763,0
2015-01-29,28.699,28.735,28.062,28.475,232926,0
2015-01-30,28.643,28.643,27.845,27.913,125583,0
2015-02-02,28.153,28.977,27.875,28.866,120342,0
2015-02-03,28.911,29.808,28.882,29.261,78970,0
2015-02-04,29.227,29.694,28.301,29.28,67364,0
2015-02-05,29.429,29.689,29.124,29.614,108775,0
2015-02-06,29.698,30.454,29.698,30.095,48189,0
2015-02-09,29.91,30.105,29.485,29.54,85553,0
2015-02-10,29.818,30.648,29.124,29.595,111966,0
2015-02-11,30.188,30.788,28.866,30.742,493317,0
2015-02-12,30.891,31.027,30.454,30.733,200550,0
2015-02-13,30.733,31.363,30.558,30.65,194916,0
2015-02-17,30.613,30.779,30.409,30.696,76715,0
2015-02-18,30.723,30.723,30.058,30.4,113695,0
2015-02-19,30.4,30.65,30.1,30.445,54508,0
2015-02-20,30.53,30.65,29.872,30.549,106611,0
2015-02-23,30.216,30.613,30.105,30.484,83159,0
2015-02-24,30.521,30.926,30.4,30.566,73364,0
2015-02-25,30.521,30.845,30.32,30.603,69807,0
2015-02-26,30.623,30.807,30.216,30.593,113808,0
2015-02-27,30.521,30.797,30.236,30.279,90483,0
2015-03-02,30.474,30.641,30.206,30.521,78931,0
2015-03-03,30.384,30.549,30.243,30.484,107908,0
2015-03-04,30.288,30.428,30.03,30.049,83147,0
2015-03-05,29.928,30.298,29.578,30.236,55251,0
2015-03-06,29.957,30.797,29.957,30.307,83364,0
2015-03-09,30.445,30.769,30.279,30.603,90068,0
2015-03-10,30.418,30.418,29.846,29.976,46602,0
2015-03-11,29.88,30.245,29.716,30.124,59261,0
2015-03-12,30.43,30.859,30.18,30.833,114871,0
2015-03-13,30.833,30.833,30.059,30.748,57759,0
2015-03-16,30.758,30.953,30.673,30.767,89214,0
2015-03-17,30.739,30.833,30.31,30.793,43802,0
2015-03-18,30.793,30.851,30.421,30.618,69246,0
2015-03-19,30.618,30.618,30.15,30.478,50028,0
2015-03-20,30.655,31.132,30.403,30.953,191523,0
2015-03-23,31.009,31.025,30.562,30.758,56792,0
2015-03-24,30.579,31.14,30.468,30.758,76762,0
2015-03-25,30.488,30.833,29.9,30.002,106497,0
2015-03-26,29.966,30.281,29.788,30.115,89106,0
2015-03-27,29.827,30.17,29.687,30.03,48418,0
2015-03-30,30.189,30.719,30.189,30.449,51639,0
2015-03-31,30.189,30.543,30.12,30.348,51587,0
2015-04-01,30.43,30.739,29.547,30.719,92972,0
2015-04-02,30.543,31.064,30.543,30.813,74398,0
2015-04-06,30.458,30.758,30.245,30.543,51532,0
2015-04-07,30.281,30.711,30.281,30.393,43406,0
2015-04-08,30.393,30.608,30.17,30.507,71392,0
2015-04-09,30.478,30.507,29.845,30.238,24205,0
2015-04-10,30.458,30.458,30.01,30.18,50780,0
2015-04-13,30.124,30.552,30.124,30.43,45091,0
2015-04-14,30.328,30.377,29.91,30.228,33281,0
2015-04-15,30.228,30.673,30.106,30.543,63418,0
2015-04-16,30.598,30.598,30.281,30.393,24589,0
2015-04-17,30.189,30.198,29.388,29.547,69246,0
2015-04-20,29.593,30.16,29.593,30.002,40089,0
2015-04-21,30.087,30.31,29.779,29.827,30705,0
2015-04-22,29.759,30.078,29.518,30.01,52717,0
2015-04-23,30.01,30.01,29.556,29.769,47560,0
2015-04-24,29.845,29.854,29.537,29.732,47131,0
2015-04-27,29.9,30.31,29.472,29.696,69459,0
2015-04-28,29.788,30.319,29.638,30.238,61192,0
2015-04-29,30.552,30.552,29.024,29.463,83846,0
2015-04-30,29.231,29.807,29.231,29.351,133874,0
2015-05-01,29.341,29.453,29.024,29.062,117987,0
2015-05-04,29.033,29.472,28.997,29.174,73003,0
2015-05-05,28.997,29.769,28.643,29.006,78158,0
2015-05-06,29.211,29.566,29.015,29.547,87311,0
2015-05-07,29.537,29.696,29.154,29.556,75900,0
2015-05-08,29.779,29.779,29.378,29.463,49061,0
2015-05-11,29.425,29.732,29.425,29.566,57114,0
2015-05-12,29.378,29.648,29.249,29.584,60653,0
2015-05-13,29.629,29.732,29.341,29.435,50352,0
2015-05-14,29.696,29.716,29.285,29.547,72896,0
2015-05-15,29.351,29.406,28.978,29.062,97390,0
2015-05-18,29.117,29.779,29.043,29.677,71707,0
2015-05-19,29.749,29.937,29.658,29.845,48098,0
2015-05-20,29.993,29.993,29.706,29.769,38541,0
2015-05-21,29.797,29.919,29.716,29.807,51423,0
2015-05-22,29.788,29.91,29.453,29.566,52818,0
2015-05-26,29.378,29.49,28.95,29.369,71378,0
2015-05-27,29.453,29.845,29.304,29.817,49814,0
2015-05-28,29.817,29.993,29.584,29.984,53699,0
2015-05-29,29.9,29.947,29.304,29.472,61516,0
2015-06-01,29.696,29.724,29.024,29.415,38712,0
2015-06-02,29.249,29.966,29.249,29.817,36905,0
2015-06-03,29.928,30.393,29.406,30.281,76762,0
2015-06-04,30.106,30.664,29.928,30.319,227384,0
2015-06-05,30.543,30.914,30.439,30.859,57649,0
2015-06-08,30.897,30.924,30.719,30.767,60335,0
2015-06-09,30.683,30.992,30.507,30.859,62646,0
2015-06-10,31.066,31.591,31.036,31.298,75346,0
2015-06-11,31.376,31.376,30.964,31.207,30680,0
2015-06-12,31.066,31.105,30.653,31.026,47655,0
2015-06-15,30.889,31.376,30.586,31.134,100001,0
2015-06-16,30.974,31.732,30.974,31.609,101496,0
2015-06-17,31.76,31.806,30.983,31.105,57356,0
2015-06-18,31.298,31.572,31.095,31.536,79106,0
2015-06-19,31.43,31.797,31.43,31.695,167274,0
2015-06-22,31.863,32.287,31.779,32.238,135504,0
2015-06-23,32.164,32.511,32.164,32.462,99435,0
2015-06-24,32.426,32.744,32.248,32.248,99788,0
2015-06-25,32.443,32.754,32.277,32.584,70257,0
2015-06-26,32.784,33.196,32.399,32.521,738501,0
2015-06-29,32.603,32.603,31.76,31.788,98403,0
2015-06-30,32.117,32.214,31.705,31.91,98353,0
2015-07-01,32.287,32.886,31.695,32.857,135077,0
2015-07-02,32.934,32.934,32.05,32.155,102561,0
2015-07-06,31.919,32.38,31.91,32.36,85930,0
2015-07-07,32.409,32.409,31.6,32.087,93819,0
2015-07-08,31.937,32.472,31.854,32.434,81131,0
2015-07-09,32.811,33.026,32.551,32.688,84116,0
2015-07-10,32.895,33.187,32.482,33.129,64181,0
2015-07-13,33.167,33.299,32.838,32.904,94138,0
2015-07-14,32.829,33.187,32.671,33.158,44772,0
2015-07-15,33.129,33.553,32.969,33.269,71446,0
2015-07-16,33.561,33.871,33.354,33.504,106612,0
2015-07-17,33.42,33.449,33.092,33.289,49256,0
2015-07-20,33.336,33.476,33.129,33.364,50001,0
2015-07-21,33.269,33.645,32.943,33.064,75694,0
2015-07-22,32.452,33.553,31.966,33.129,84223,0
2015-07-23,32.462,32.462,31.386,31.705,229856,0
2015-07-24,31.564,31.6,30.889,31.085,214397,0
2015-07-27,30.964,31.197,30.803,31.149,113754,0
2015-07-28,31.274,31.348,30.793,31.149,65779,0
2015-07-29,31.026,31.338,30.784,31.187,115994,0
2015-07-30,30.974,31.376,30.869,31.318,94566,0
2015-07-31,31.264,31.405,30.859,31.157,175803,0
2015-08-03,31.075,31.348,30.344,30.485,185475,0
2015-08-04,30.485,31.01,29.987,30.155,239237,0
2015-08-05,30.258,30.803,29.969,30.653,99682,0
2015-08-06,30.701,30.833,30.465,30.635,73899,0
2015-08-07,30.465,30.784,30.1,30.213,55651,0
2015-08-10,30.475,30.813,30.287,30.418,75907,0
2015-08-11,30.924,30.924,30.223,30.728,125008,0
2015-08-12,30.465,30.465,29.668,29.96,108211,0
2015-08-13,29.922,30.383,29.725,29.865,63648,0
2015-08-14,29.744,30.024,29.649,29.997,102134,0
2015-08-17,29.809,30.513,29.781,30.344,99788,0
2015-08-18,30.258,30.428,30.09,30.25,63115,0
2015-08-19,30.073,30.315,29.79,29.94,66313,0
2015-08-20,29.659,29.725,29.377,29.406,100961,0
2015-08-21,28.927,29.979,28.927,29.283,173777,0
2015-08-24,28.271,29.124,27.953,27.953,119945,0
2015-08-25,28.767,28.767,27.445,27.512,101921,0
2015-08-26,27.969,28.252,27.568,28.196,77933,0
2015-08-27,28.327,28.713,28.018,28.422,106079,0
2015-08-28,28.233,28.675,28.101,28.422,119299,0
2015-08-31,28.28,28.947,28.076,28.88,112156,0
2015-09-01,28.422,28.777,28.168,28.252,145419,0
2015-09-02,28.535,28.748,28.374,28.748,93072,0
2015-09-03,28.73,29.115,28.73,28.956,81772,0
2015-09-04,28.581,29.238,28.572,28.748,123669,0
2015-09-08,29.106,29.472,29.059,29.302,60448,0
2015-09-09,29.52,29.539,29.151,29.18,151967,0
2015-09-10,29.047,29.72,28.651,29.454,174241,0
2015-09-11,29.199,29.483,29.047,29.406,68470,0
2015-09-14,29.435,29.652,29.378,29.464,30374,0
2015-09-15,29.398,29.898,29.398,29.755,35239,0
2015-09-16,29.765,30.05,29.681,29.955,141809,0
2015-09-17,29.955,30.143,29.558,29.72,265283,0
2015-09-18,29.34,29.898,29.123,29.388,262134,0
2015-09-21,29.53,29.869,29.444,29.765,82863,0
2015-09-22,29.483,29.71,29.322,29.568,62121,0
2015-09-23,29.642,29.86,29.388,29.578,56296,0
2015-09-24,29.369,29.869,29.369,29.793,118958,0
2015-09-25,30.069,30.152,29.633,29.745,103075,0
2015-09-28,29.568,29.908,29.302,29.614,79978,0
2015-09-29,29.727,29.793,29.36,29.671,103499,0
2015-09-30,29.964,30.069,29.633,29.72,135565,0
2015-10-01,29.908,30.05,29.473,29.727,84239,0
2015-10-02,29.464,29.633,28.869,29.586,209856,0
2015-10-05,29.803,30.239,29.578,30.059,118393,0
2015-10-06,30.05,30.143,29.483,29.813,120961,0
2015-10-07,29.964,30.352,29.842,30.332,132284,0
2015-10-08,30.285,30.673,30.22,30.644,121700,0
2015-10-09,30.711,30.825,30.191,30.342,118631,0
2015-10-12,30.342,30.825,30.22,30.825,63969,0
2015-10-13,30.805,30.967,30.427,30.435,45717,0
2015-10-14,30.239,30.39,29.586,29.623,88365,0
2015-10-15,29.755,30.474,29.595,30.454,69845,0
2015-10-16,30.342,30.586,29.926,30.332,64025,0
2015-10-19,30.059,30.551,30.059,30.294,37850,0
2015-10-20,30.294,30.748,30.22,30.616,31491,0
2015-10-21,29.681,30.381,29.332,29.813,540246,0
2015-10-22,29.964,30.381,29.964,30.247,146569,0
2015-10-23,30.332,30.719,29.765,30.673,423202,0
2015-10-26,30.805,31.06,30.569,30.871,159057,0
2015-10-27,30.719,30.805,30.143,30.362,204459,0
2015-10-28,30.381,31.598,30.381,31.589,219483,0
2015-10-29,31.542,31.788,31.021,31.579,184984,0
2015-10-30,31.504,31.57,30.551,30.852,231126,0
2015-11-02,30.871,31.402,30.844,31.25,144871,0
