Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,7.28,7.48,6.99,7.43,1583073,0
2015-01-05,7.2,7.21,6.68,6.73,1526198,0
2015-01-06,6.63,6.76,6.16,6.25,1998711,0
2015-01-07,6.47,6.7,6.07,6.2,1597641,0
2015-01-08,6.54,6.64,6.17,6.25,2447855,0
2015-01-09,6.26,6.35,5.96,6.11,2109693,0
2015-01-12,5.94,6.08,5.78,6.03,1355301,0
2015-01-13,6.02,6.22,5.8,5.96,1680773,0
2015-01-14,5.85,6.18,5.72,6.13,2523181,0
2015-01-15,6.35,6.38,5.85,5.87,1551615,0
2015-01-16,5.93,6.16,5.71,5.87,3743204,0
2015-01-20,5.78,5.86,5.38,5.71,2370274,0
2015-01-21,5.81,5.87,5.57,5.69,2223624,0
2015-01-22,5.74,5.82,5.46,5.63,1684175,0
2015-01-23,5.65,5.73,5.5,5.55,1166506,0
2015-01-26,5.59,5.63,5.39,5.42,2331213,0
2015-01-27,5.37,5.64,5.36,5.52,3028889,0
2015-01-28,5.5,5.5,5.12,5.14,2436751,0
2015-01-29,5.2,5.25,4.8,4.97,2370580,0
2015-01-30,4.93,5.2,4.84,5.06,2687961,0
2015-02-02,5.14,5.55,5.06,5.52,2418378,0
2015-02-03,5.71,6.41,5.69,6.25,6373546,0
2015-02-04,6.15,6.2,5.34,5.44,3810532,0
2015-02-05,5.52,5.99,5.5,5.92,2665875,0
2015-02-06,6.07,6.43,6.0,6.31,3887860,0
2015-02-09,6.44,7.18,6.44,6.62,4685891,0
2015-02-10,6.63,6.7,6.05,6.26,2390089,0
2015-02-11,6.06,6.16,5.8,5.98,2491130,0
2015-02-12,6.28,6.38,6.09,6.14,2539593,0
2015-02-13,6.35,6.7,6.33,6.55,3122026,0
2015-02-17,6.48,6.71,6.36,6.68,2202788,0
2015-02-18,6.58,6.65,6.3,6.35,2083266,0
2015-02-19,6.15,6.51,6.0,6.33,2114244,0
2015-02-20,6.35,6.46,6.15,6.25,1640131,0
2015-02-23,6.15,6.33,6.02,6.11,1879792,0
2015-02-24,6.22,6.28,5.88,5.96,2462545,0
2015-02-25,6.09,6.19,5.7,6.13,3304265,0
2015-02-26,6.04,6.07,5.85,5.92,1924736,0
2015-02-27,5.98,6.05,5.9,5.97,1866304,0
2015-03-02,5.91,5.97,5.75,5.84,2132100,0
2015-03-03,5.86,6.1,5.78,5.82,2933000,0
2015-03-04,5.8,5.87,5.64,5.83,1696700,0
2015-03-05,5.65,6.29,5.51,6.23,4308900,0
2015-03-06,6.06,6.48,6.01,6.35,2845200,0
2015-03-09,6.35,6.49,6.13,6.16,3210100,0
2015-03-10,6.06,6.21,5.72,5.81,3072000,0
2015-03-11,5.86,5.97,5.53,5.65,2586200,0
2015-03-12,5.69,5.74,5.41,5.55,2193600,0
2015-03-13,5.41,5.46,5.06,5.3,2991200,0
2015-03-16,5.24,5.24,5.01,5.15,2153900,0
2015-03-17,5.11,5.15,4.85,4.92,2591800,0
2015-03-18,4.82,5.15,4.63,5.14,4683700,0
2015-03-19,5.0,5.17,4.76,5.11,4688200,0
2015-03-20,5.18,5.31,5.02,5.04,3207100,0
2015-03-23,5.0,5.22,4.94,4.94,2766300,0
2015-03-24,5.0,5.08,4.91,5.05,2529900,0
2015-03-25,5.08,5.29,5.0,5.25,3027300,0
2015-03-26,5.41,5.61,5.25,5.43,2549100,0
2015-03-27,5.29,5.32,5.14,5.17,1884300,0
2015-03-30,5.21,5.26,4.99,5.13,1847600,0
2015-03-31,5.05,5.24,5.01,5.11,1655909,0
