Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,16.472,16.582,16.199,16.371,6008525,0
2015-01-05,16.291,16.4,16.126,16.215,11351332,0
2015-01-06,16.19,16.38,16.027,16.19,11338552,0
2015-01-07,16.309,16.309,15.961,16.034,7643781,0
2015-01-08,16.171,16.554,16.161,16.354,8568694,0
2015-01-09,16.354,16.481,16.19,16.371,5096833,0
2015-01-12,16.38,16.455,16.19,16.271,3888669,0
2015-01-13,16.39,16.528,16.136,16.254,4163281,0
2015-01-14,15.97,16.042,15.669,15.77,7441606,0
2015-01-15,15.723,15.86,15.441,15.522,6660993,0
2015-01-16,15.477,15.723,15.45,15.723,6161852,0
2015-01-20,15.788,15.879,15.522,15.532,4950096,0
2015-01-21,15.45,15.705,15.422,15.669,4577337,0
2015-01-22,15.77,16.116,15.632,16.071,3645992,0
2015-01-23,16.098,16.161,15.952,16.08,5162989,0
2015-01-26,16.089,16.199,15.916,16.181,4011174,0
2015-01-27,16.007,16.007,15.788,15.86,4152764,0
2015-01-28,15.952,15.961,15.46,15.486,4685883,0
2015-01-29,15.477,15.651,15.403,15.642,3441297,0
2015-01-30,15.505,15.714,15.349,15.522,8325803,0
2015-02-02,15.276,15.916,15.276,15.898,8707787,0
2015-02-03,15.952,16.153,15.833,16.153,4735582,0
2015-02-04,16.071,16.299,16.052,16.153,5421297,0
2015-02-05,16.215,16.39,16.153,16.326,4373492,0
2015-02-06,16.354,16.436,16.098,16.19,6730233,0
2015-02-09,16.116,16.235,15.988,16.089,6753061,0
2015-02-10,16.098,16.92,15.798,16.802,18358306,0
2015-02-11,16.481,17.057,15.751,16.709,22123818,0
2015-02-12,16.81,16.956,16.692,16.718,10711984,0
2015-02-13,16.747,17.367,16.727,17.367,10735189,0
2015-02-17,17.34,17.623,17.34,17.623,12312075,0
2015-02-18,17.587,17.724,17.541,17.623,7011496,0
2015-02-19,17.587,17.651,17.513,17.595,5246577,0
2015-02-20,17.522,17.834,17.476,17.761,5614288,0
