Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,82.185,83.079,81.971,82.88,11445667,0
2015-01-05,82.232,82.498,79.907,80.613,20723225,0
2015-01-06,80.569,81.614,79.478,80.186,18666164,0
2015-01-07,80.936,81.677,80.354,80.998,15221871,0
2015-01-08,81.472,82.381,81.248,82.347,17345498,0
2015-01-09,82.409,82.838,81.579,82.232,16227282,0
2015-01-12,81.463,81.551,80.195,80.649,16997399,0
2015-01-13,81.141,81.631,79.562,80.354,19564745,0
2015-01-14,79.437,80.257,77.908,80.121,26065227,0
2015-01-15,80.74,80.944,79.027,79.427,21010430,0
2015-01-16,79.446,81.417,79.446,81.356,19838714,0
2015-01-20,81.122,81.944,80.694,81.327,18730299,0
2015-01-21,81.91,82.134,81.258,82.025,15989864,0
2015-01-22,82.417,83.007,81.533,82.918,15185898,0
2015-01-23,82.436,82.568,81.06,81.151,16467247,0
2015-01-26,80.9,82.085,80.775,81.927,11952969,0
2015-01-27,81.454,81.783,80.89,81.203,13772406,0
2015-01-28,81.141,81.185,78.407,78.523,19558190,0
2015-01-29,78.588,78.803,76.811,78.193,25402915,0
2015-01-30,77.811,78.943,77.007,78.052,25401218,0
2015-02-02,78.435,79.99,78.124,79.982,22743162,0
2015-02-03,81.159,82.436,81.078,82.364,24528165,0
2015-02-04,81.819,82.381,80.81,81.658,21987473,0
2015-02-05,82.498,82.623,81.873,82.462,14345097,0
2015-02-06,83.477,83.64,82.445,82.933,13604137,0
2015-02-09,82.844,83.649,82.698,82.986,12533852,0
2015-02-10,83.151,83.151,81.845,82.489,14290512,0
2015-02-11,81.593,82.327,81.383,82.119,13503019,0
2015-02-12,82.897,83.985,82.498,83.721,16375832,0
2015-02-13,84.022,84.699,83.64,84.629,13306359,0
2015-02-17,84.065,84.358,83.649,84.339,12970873,0
2015-02-18,83.377,83.377,81.928,82.489,21157367,0
2015-02-19,81.248,81.955,80.287,81.065,21347756,0
2015-02-20,81.03,81.52,80.532,81.501,17608397,0
2015-02-23,80.877,81.167,80.431,80.677,14089471,0
2015-02-24,80.966,81.376,80.786,81.049,11022217,0
2015-02-25,81.184,81.302,80.741,81.212,10950455,0
2015-02-26,80.831,80.831,79.832,80.349,15427825,0
2015-02-27,80.567,80.921,80.069,80.25,14442244,0
2015-03-02,80.069,80.231,79.171,79.797,15218413,0
2015-03-03,79.688,79.782,78.972,79.416,14887644,0
2015-03-04,79.653,79.723,78.792,79.019,14858630,0
2015-03-05,78.963,79.029,78.419,78.618,13821530,0
2015-03-06,78.32,78.494,77.331,77.615,17730395,0
2015-03-09,78.031,78.292,77.15,77.188,16001972,0
2015-03-10,76.897,77.524,76.353,76.371,18971602,0
2015-03-11,76.97,76.979,76.135,76.155,14347913,0
2015-03-12,76.589,76.788,75.285,75.672,11912481,0
